"","date","hour","fullname","site","station","grounddepth","groundtemp","vwcdepth","vwc","airtemp","solar","windspeed","winddir"
"100","2024-12-01",19,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,51.2
"101","2024-12-01",20,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,300
"102","2024-12-01",20,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,118
"103","2024-12-01",20,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,310.8
"104","2024-12-01",20,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,132
"105","2024-12-01",20,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,36
"106","2024-12-01",21,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,324
"107","2024-12-01",21,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,125
"108","2024-12-01",21,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,157
"109","2024-12-01",21,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,125
"110","2024-12-01",21,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,61.2
"111","2024-12-01",22,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,310
"112","2024-12-01",22,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,153
"113","2024-12-01",22,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,305.6
"114","2024-12-01",22,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,121
"115","2024-12-01",22,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,61.8
"116","2024-12-01",23,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,305
"117","2024-12-01",23,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,119
"118","2024-12-01",23,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,287.4
"119","2024-12-01",23,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,121
"120","2024-12-01",23,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,36.4
"121","2024-12-02",0,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,314
"122","2024-12-02",0,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,118
"123","2024-12-02",0,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,172.6
"124","2024-12-02",0,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,121
"125","2024-12-02",0,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,46
"126","2024-12-02",1,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,329
"127","2024-12-02",1,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,139
"128","2024-12-02",1,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,182.8
"129","2024-12-02",1,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,121
"130","2024-12-02",1,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,80.4
"131","2024-12-02",2,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,334
"132","2024-12-02",2,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,244
"133","2024-12-02",2,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,317.2
"134","2024-12-02",2,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,117
"135","2024-12-02",2,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,92.2
"136","2024-12-02",3,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,343
"137","2024-12-02",3,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,209
"138","2024-12-02",3,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,276.2
"139","2024-12-02",3,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,114
"140","2024-12-02",3,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,87.2
"141","2024-12-02",4,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,303
"142","2024-12-02",4,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,121
"143","2024-12-02",4,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,209.2
"144","2024-12-02",4,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,114
"145","2024-12-02",4,"TNHA-SD","TNHA","SD",NA,NA,NA,NA,NA,NA,0.2,32.6
"146","2024-12-02",5,"TNHA-BASE","TNHA","BASE",NA,NA,NA,NA,NA,NA,0,286
"147","2024-12-02",5,"TNHA-SA","TNHA","SA",NA,NA,NA,NA,NA,NA,0,122
"148","2024-12-02",5,"TNHA-SB","TNHA","SB",NA,NA,NA,NA,NA,NA,0,178.8
"149","2024-12-02",5,"TNHA-SC","TNHA","SC",NA,NA,NA,NA,NA,NA,0,114
