sensor	day	value
TNHA-BASE	6/30/22	"7,15112107623318405"
TNHA-BASE	7/1/22	"9,20833333333333393"
TNHA-BASE	7/2/22	"8,27500000000000036"
TNHA-BASE	7/3/22	"7,54166666666666607"
TNHA-BASE	7/4/22	"6,74583333333333357"
TNHA-BASE	7/5/22	"5,72499999999999964"
TNHA-BASE	7/6/22	"7,53541666666666643"
TNHA-BASE	7/7/22	"7,97708333333333286"
TNHA-BASE	7/8/22	"5,15000000000000036"
TNHA-BASE	7/9/22	
TNHA-BASE	7/10/22	
TNHA-BASE	7/11/22	
TNHA-BASE	7/12/22	
TNHA-BASE	7/13/22	
TNHA-BASE	7/14/22	
TNHA-BASE	7/15/22	
TNHA-BASE	7/16/22	
TNHA-BASE	7/17/22	
TNHA-BASE	7/18/22	
TNHA-BASE	7/19/22	
TNHA-BASE	7/20/22	
TNHA-BASE	7/21/22	
TNHA-BASE	7/22/22	
TNHA-BASE	7/23/22	
TNHA-BASE	7/24/22	
TNHA-BASE	7/25/22	
TNHA-BASE	7/26/22	
TNHA-BASE	7/27/22	
TNHA-BASE	7/28/22	
TNHA-BASE	7/29/22	
TNHA-BASE	7/30/22	
TNHA-BASE	7/31/22	
TNHA-BASE	8/1/22	
TNHA-BASE	8/2/22	
TNHA-BASE	8/3/22	
TNHA-BASE	8/4/22	
TNHA-BASE	8/5/22	
TNHA-BASE	8/6/22	
TNHA-BASE	8/7/22	
TNHA-BASE	8/8/22	
TNHA-BASE	8/9/22	
TNHA-BASE	8/10/22	
TNHA-BASE	8/11/22	
TNHA-BASE	8/12/22	
TNHA-BASE	8/13/22	
TNHA-BASE	8/14/22	
TNHA-BASE	8/15/22	"2,53000000000000025"
TNHA-BASE	8/16/22	"2,13333333333333330"
TNHA-BASE	8/17/22	"2,60416666666666652"
TNHA-BASE	8/18/22	"2,61458333333333348"
TNHA-BASE	8/19/22	"2,16458333333333330"
TNHA-BASE	8/20/22	"1,76041666666666674"
TNHA-BASE	8/21/22	"0,85416666666666674"
TNHA-BASE	8/22/22	"1,68541666666666679"
TNHA-BASE	8/23/22	"2,21249999999999991"
TNHA-BASE	8/24/22	"3,03958333333333330"
TNHA-BASE	8/25/22	"5,58124999999999982"
TNHA-BASE	8/26/22	"5,29375000000000018"
TNHA-BASE	8/27/22	"4,98958333333333304"
TNHA-BASE	8/28/22	"4,71458333333333357"
TNHA-BASE	8/29/22	"5,13958333333333339"
TNHA-BASE	8/30/22	"4,57916666666666661"
TNHA-BASE	8/31/22	"4,30625000000000036"
TNHA-BASE	9/1/22	"4,79999999999999982"
BEO-B06	7/4/22	"4,05263157894736814"
BEO-B06	7/5/22	"5,02083333333333304"
BEO-B06	7/6/22	"7,47916666666666696"
BEO-B06	7/7/22	"6,67708333333333304"
BEO-B06	7/8/22	"4,78125000000000000"
BEO-B06	7/9/22	"5,72916666666666696"
BEO-B06	7/10/22	"8,28125000000000000"
BEO-B06	7/11/22	"8,01041666666666607"
BEO-B06	7/12/22	"3,07291666666666652"
BEO-B06	7/13/22	"3,45833333333333348"
BEO-B06	7/14/22	"3,76041666666666652"
BEO-B06	7/15/22	"3,03125000000000000"
BEO-B06	7/16/22	"3,17708333333333348"
BEO-B06	7/17/22	"2,64583333333333348"
BEO-B06	7/18/22	"3,33333333333333348"
BEO-B06	7/19/22	"4,06250000000000000"
BEO-B06	7/20/22	"5,01041666666666696"
BEO-B06	7/21/22	"5,26041666666666696"
BEO-B06	7/22/22	"3,90625000000000000"
BEO-B06	7/23/22	"3,15625000000000000"
BEO-B06	7/24/22	"3,37500000000000000"
BEO-B06	7/25/22	"3,57291666666666652"
BEO-B06	7/26/22	"1,10416666666666674"
BEO-B06	7/27/22	"0,62500000000000000"
BEO-B06	7/28/22	"0,73958333333333337"
BEO-B06	7/29/22	"1,95833333333333326"
BEO-B06	7/30/22	"3,37500000000000000"
BEO-B06	7/31/22	"2,77083333333333348"
BEO-B06	8/1/22	"2,40625000000000000"
BEO-B06	8/2/22	"3,25000000000000000"
BEO-B06	8/3/22	"6,88541666666666696"
BEO-B06	8/4/22	"7,98958333333333304"
BEO-B06	8/5/22	"8,17708333333333393"
BEO-B06	8/6/22	"3,73958333333333348"
BEO-B06	8/7/22	"4,46875000000000000"
BEO-B06	8/8/22	"5,40625000000000000"
BEO-B06	8/9/22	"4,16666666666666696"
BEO-B06	8/10/22	"4,16666666666666696"
BEO-B06	8/11/22	"5,26041666666666696"
BEO-B06	8/12/22	"6,92708333333333304"
BEO-B06	8/13/22	"2,83333333333333348"
BEO-B06	8/14/22	"2,56250000000000000"
BEO-B06	8/15/22	"1,45833333333333326"
BEO-B06	8/16/22	"0,82291666666666663"
BEO-B06	8/17/22	"1,77083333333333326"
BEO-B06	8/18/22	"1,69791666666666674"
BEO-B06	8/19/22	"1,69791666666666674"
BEO-B06	8/20/22	"1,20833333333333326"
BEO-B06	8/21/22	"0,71875000000000000"
BEO-B06	8/22/22	"0,52083333333333337"
BEO-B06	8/23/22	"1,37500000000000000"
BEO-B06	8/24/22	"3,96875000000000000"
BEO-B06	8/25/22	"5,53125000000000000"
BEO-B06	8/26/22	"5,84375000000000000"
BEO-B06	8/27/22	"3,71875000000000000"
BEO-B06	8/28/22	"3,32291666666666652"
BEO-B06	8/29/22	"3,67708333333333348"
BEO-B06	8/30/22	"3,73958333333333348"
BEO-B06	8/31/22	"3,15625000000000000"
BEO-B06	9/1/22	"4,00000000000000000"
