Line#,Date,"Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
84,12/01/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
85,12/01/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
86,12/01/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
87,12/01/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
88,12/01/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
89,12/01/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
90,12/01/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
91,12/01/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
92,12/01/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
93,12/01/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
94,12/01/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
95,12/01/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
96,12/01/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
97,12/02/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
98,12/02/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
99,12/02/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
100,12/02/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
101,12/02/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
102,12/02/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
103,12/02/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
104,12/02/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
105,12/02/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
106,12/02/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
107,12/02/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
108,12/02/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
109,12/02/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
110,12/02/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
111,12/02/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
112,12/02/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
113,12/02/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
114,12/02/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
115,12/02/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
116,12/02/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
117,12/02/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
118,12/02/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
119,12/02/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
120,12/02/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
121,12/02/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
122,12/02/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
123,12/02/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
124,12/02/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
125,12/02/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
126,12/02/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
127,12/02/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
128,12/02/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
129,12/02/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
130,12/02/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
131,12/02/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
132,12/02/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
133,12/02/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
134,12/02/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
135,12/02/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
