Line#,Date,"Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
582,12/07/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
583,12/07/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
584,12/07/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
585,12/07/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
586,12/07/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
587,12/07/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
588,12/07/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
589,12/07/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
590,12/07/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
591,12/07/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
592,12/07/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
593,12/07/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
594,12/07/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
595,12/07/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
596,12/07/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
597,12/07/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
598,12/07/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
599,12/07/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
600,12/07/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
601,12/07/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
602,12/07/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
603,12/07/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
604,12/07/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
605,12/07/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
606,12/07/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
607,12/07/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
608,12/07/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
609,12/07/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
610,12/07/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
611,12/07/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
612,12/07/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
613,12/07/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
614,12/07/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
615,12/07/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
616,12/07/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
617,12/07/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
618,12/07/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
619,12/07/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
620,12/07/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
621,12/07/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
622,12/07/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
623,12/07/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
624,12/07/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
625,12/07/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
626,12/07/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
627,12/07/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
628,12/07/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
629,12/07/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
630,12/07/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
631,12/07/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
632,12/07/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
633,12/07/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
634,12/07/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
635,12/07/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
636,12/07/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
637,12/07/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
638,12/07/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
639,12/07/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
640,12/07/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
641,12/07/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
642,12/07/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
643,12/07/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
644,12/07/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
645,12/07/22 17:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
646,12/07/22 17:05:00,,,,,,,,,,1,1,1,,,,,,,
647,12/07/22 17:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
648,12/07/22 17:35:00,,,,,,,,,,1,1,1,,,,,,,
649,12/07/22 18:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
650,12/07/22 18:05:00,,,,,,,,,,1,1,1,,,,,,,
651,12/07/22 18:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
652,12/07/22 18:35:00,,,,,,,,,,1,1,1,,,,,,,
653,12/07/22 19:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
654,12/07/22 19:05:00,,,,,,,,,,1,1,1,,,,,,,
655,12/07/22 19:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
656,12/07/22 19:35:00,,,,,,,,,,1,1,1,,,,,,,
657,12/07/22 20:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
658,12/07/22 20:05:00,,,,,,,,,,1,1,1,,,,,,,
659,12/07/22 20:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
660,12/07/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
661,12/07/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
662,12/07/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
663,12/07/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
664,12/07/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
665,12/07/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
666,12/07/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
667,12/07/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
668,12/07/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
669,12/07/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
670,12/07/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
671,12/07/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
672,12/07/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
673,12/08/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
674,12/08/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
675,12/08/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
676,12/08/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
677,12/08/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
678,12/08/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
679,12/08/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
680,12/08/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
681,12/08/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
682,12/08/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
683,12/08/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
684,12/08/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
685,12/08/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
686,12/08/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
687,12/08/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
688,12/08/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
689,12/08/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
690,12/08/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
691,12/08/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
692,12/08/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
693,12/08/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
694,12/08/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
695,12/08/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
696,12/08/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
697,12/08/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
698,12/08/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
699,12/08/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
700,12/08/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
701,12/08/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
702,12/08/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
703,12/08/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
704,12/08/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
705,12/08/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
706,12/08/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
707,12/08/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
708,12/08/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
709,12/08/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
710,12/08/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
711,12/08/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
712,12/08/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
713,12/08/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
714,12/08/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
715,12/08/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
716,12/08/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
717,12/08/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
718,12/08/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
719,12/08/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
720,12/08/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
721,12/08/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
722,12/08/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
723,12/08/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
724,12/08/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
725,12/08/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
726,12/08/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
727,12/08/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
728,12/08/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
729,12/08/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
730,12/08/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
731,12/08/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
732,12/08/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
733,12/08/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
734,12/08/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
735,12/08/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
736,12/08/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
737,12/08/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
738,12/08/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
739,12/08/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
740,12/08/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
741,12/08/22 17:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
742,12/08/22 17:05:00,,,,,,,,,,1,1,1,,,,,,,
743,12/08/22 17:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
744,12/08/22 17:35:00,,,,,,,,,,1,1,1,,,,,,,
745,12/08/22 18:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
746,12/08/22 18:05:00,,,,,,,,,,1,1,1,,,,,,,
747,12/08/22 18:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
748,12/08/22 18:35:00,,,,,,,,,,1,1,1,,,,,,,
749,12/08/22 19:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
750,12/08/22 19:05:00,,,,,,,,,,1,1,1,,,,,,,
751,12/08/22 19:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
752,12/08/22 19:35:00,,,,,,,,,,1,1,1,,,,,,,
753,12/08/22 20:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
754,12/08/22 20:05:00,,,,,,,,,,1,1,1,,,,,,,
755,12/08/22 20:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
756,12/08/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
757,12/08/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
758,12/08/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
759,12/08/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
760,12/08/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
761,12/08/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
762,12/08/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
763,12/08/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
764,12/08/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
765,12/08/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
766,12/08/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
767,12/08/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
768,12/08/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
769,12/09/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
770,12/09/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
771,12/09/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
772,12/09/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
773,12/09/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
774,12/09/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
775,12/09/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
776,12/09/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
777,12/09/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
778,12/09/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
779,12/09/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
780,12/09/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
781,12/09/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
782,12/09/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
783,12/09/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
784,12/09/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
785,12/09/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
786,12/09/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
787,12/09/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
788,12/09/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
789,12/09/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
790,12/09/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
791,12/09/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
792,12/09/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
793,12/09/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
794,12/09/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
795,12/09/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
796,12/09/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
797,12/09/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
798,12/09/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
799,12/09/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
800,12/09/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
801,12/09/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
802,12/09/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
803,12/09/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
804,12/09/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
805,12/09/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
806,12/09/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
807,12/09/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
808,12/09/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
809,12/09/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
810,12/09/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
811,12/09/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
812,12/09/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
813,12/09/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
814,12/09/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
815,12/09/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
816,12/09/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
817,12/09/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
818,12/09/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
819,12/09/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
820,12/09/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
821,12/09/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
822,12/09/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
823,12/09/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
824,12/09/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
825,12/09/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
826,12/09/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
827,12/09/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
828,12/09/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
829,12/09/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
830,12/09/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
831,12/09/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
832,12/09/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
833,12/09/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
834,12/09/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
835,12/09/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
836,12/09/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
837,12/09/22 17:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
838,12/09/22 17:05:00,,,,,,,,,,1,1,1,,,,,,,
839,12/09/22 17:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
840,12/09/22 17:35:00,,,,,,,,,,1,1,1,,,,,,,
841,12/09/22 18:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
842,12/09/22 18:05:00,,,,,,,,,,1,1,1,,,,,,,
843,12/09/22 18:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
844,12/09/22 18:35:00,,,,,,,,,,1,1,1,,,,,,,
845,12/09/22 19:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
846,12/09/22 19:05:00,,,,,,,,,,1,1,1,,,,,,,
847,12/09/22 19:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
848,12/09/22 19:35:00,,,,,,,,,,1,1,1,,,,,,,
849,12/09/22 20:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
850,12/09/22 20:05:00,,,,,,,,,,1,1,1,,,,,,,
851,12/09/22 20:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
852,12/09/22 20:35:00,,,,,,,,,,1,1,1,,,,,,,
853,12/09/22 21:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
854,12/09/22 21:05:00,,,,,,,,,,1,1,1,,,,,,,
855,12/09/22 21:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
856,12/09/22 21:35:00,,,,,,,,,,1,1,1,,,,,,,
857,12/09/22 22:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
858,12/09/22 22:05:00,,,,,,,,,,1,1,1,,,,,,,
859,12/09/22 22:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
860,12/09/22 22:35:00,,,,,,,,,,1,1,1,,,,,,,
861,12/09/22 23:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
862,12/09/22 23:05:00,,,,,,,,,,1,1,1,,,,,,,
863,12/09/22 23:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
864,12/09/22 23:35:00,,,,,,,,,,1,1,1,,,,,,,
865,12/10/22 00:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
866,12/10/22 00:05:00,,,,,,,,,,1,1,1,,,,,,,
867,12/10/22 00:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
868,12/10/22 00:35:00,,,,,,,,,,1,1,1,,,,,,,
869,12/10/22 01:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
870,12/10/22 01:05:00,,,,,,,,,,1,1,1,,,,,,,
871,12/10/22 01:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
872,12/10/22 01:35:00,,,,,,,,,,1,1,1,,,,,,,
873,12/10/22 02:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
874,12/10/22 02:05:00,,,,,,,,,,1,1,1,,,,,,,
875,12/10/22 02:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
876,12/10/22 02:35:00,,,,,,,,,,1,1,1,,,,,,,
877,12/10/22 03:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
878,12/10/22 03:05:00,,,,,,,,,,1,1,1,,,,,,,
879,12/10/22 03:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
880,12/10/22 03:35:00,,,,,,,,,,1,1,1,,,,,,,
881,12/10/22 04:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
882,12/10/22 04:05:00,,,,,,,,,,1,1,1,,,,,,,
883,12/10/22 04:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
884,12/10/22 04:35:00,,,,,,,,,,1,1,1,,,,,,,
885,12/10/22 05:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
886,12/10/22 05:05:00,,,,,,,,,,1,1,1,,,,,,,
887,12/10/22 05:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
888,12/10/22 05:35:00,,,,,,,,,,1,1,1,,,,,,,
889,12/10/22 06:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
890,12/10/22 06:05:00,,,,,,,,,,1,1,1,,,,,,,
891,12/10/22 06:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
892,12/10/22 06:35:00,,,,,,,,,,1,1,1,,,,,,,
893,12/10/22 07:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
894,12/10/22 07:05:00,,,,,,,,,,1,1,1,,,,,,,
895,12/10/22 07:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
896,12/10/22 07:35:00,,,,,,,,,,1,1,1,,,,,,,
897,12/10/22 08:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
898,12/10/22 08:05:00,,,,,,,,,,1,1,1,,,,,,,
899,12/10/22 08:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
900,12/10/22 08:35:00,,,,,,,,,,1,1,1,,,,,,,
901,12/10/22 09:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
902,12/10/22 09:05:00,,,,,,,,,,1,1,1,,,,,,,
903,12/10/22 09:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
904,12/10/22 09:35:00,,,,,,,,,,1,1,1,,,,,,,
905,12/10/22 10:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
906,12/10/22 10:05:00,,,,,,,,,,1,1,1,,,,,,,
907,12/10/22 10:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
908,12/10/22 10:35:00,,,,,,,,,,1,1,1,,,,,,,
909,12/10/22 11:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
910,12/10/22 11:05:00,,,,,,,,,,1,1,1,,,,,,,
911,12/10/22 11:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
912,12/10/22 11:35:00,,,,,,,,,,1,1,1,,,,,,,
913,12/10/22 12:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
914,12/10/22 12:05:00,,,,,,,,,,1,1,1,,,,,,,
915,12/10/22 12:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
916,12/10/22 12:35:00,,,,,,,,,,1,1,1,,,,,,,
917,12/10/22 13:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
918,12/10/22 13:05:00,,,,,,,,,,1,1,1,,,,,,,
919,12/10/22 13:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
920,12/10/22 13:35:00,,,,,,,,,,1,1,1,,,,,,,
921,12/10/22 14:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
922,12/10/22 14:05:00,,,,,,,,,,1,1,1,,,,,,,
923,12/10/22 14:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
924,12/10/22 14:35:00,,,,,,,,,,1,1,1,,,,,,,
925,12/10/22 15:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
926,12/10/22 15:05:00,,,,,,,,,,1,1,1,,,,,,,
927,12/10/22 15:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
928,12/10/22 15:35:00,,,,,,,,,,1,1,1,,,,,,,
929,12/10/22 16:00:00,,,,,1,1,1,1,1,,,,,,,,,,1
930,12/10/22 16:05:00,,,,,,,,,,1,1,1,,,,,,,
931,12/10/22 16:30:00,,,,,1,1,1,1,1,,,,,,,,,,1
932,12/10/22 16:35:00,,,,,,,,,,1,1,1,,,,,,,
