Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6","Solar Radiation (RXW-LIB 21198259:21398616-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398618-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398624-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390411-1), W/m^2, RX3000_BRW5"
1291,06/23/22 11:30:00,8,4,6,3,6,8,8,,8,,,,,,
1292,06/23/22 11:35:00,8,4,6,4,6,7,8,,8,,,,,,
1293,06/23/22 11:40:00,8,4,4,3,6,7,8,,8,,,,,,
1294,06/23/22 11:45:00,8,4,4,4,6,7,8,,8,,,,,,
1295,06/23/22 11:50:00,9,4,6,4,6,8,8,,8,,,,,,
1296,06/23/22 11:55:00,9,6,6,4,6,7,8,,9,,,,,,
1297,06/23/22 12:00:00,8,4,6,3,6,7,8,,8,,,,,,
1298,06/23/22 12:05:00,8,4,6,3,6,6,8,,8,,,,,,
1299,06/23/22 12:10:00,9,6,6,4,6,8,8,,9,,,,,,
1300,06/23/22 12:15:00,9,6,6,4,7,8,9,,11,,,,,,
1301,06/23/22 12:20:00,11,6,6,4,7,8,9,,11,,,,,,
1302,06/23/22 12:25:00,13,7,7,6,7,9,9,,12,,,,,,
1303,06/23/22 12:30:00,16,9,9,8,9,13,13,,14,,,,,,
1304,06/23/22 12:35:00,16,9,11,8,12,16,16,,17,,,,,,
1305,06/23/22 12:40:00,14,8,11,7,12,13,16,,14,,,,,,
1306,06/23/22 12:45:00,14,8,9,7,9,11,12,,14,,,,,,
1307,06/23/22 12:50:00,14,8,11,7,8,11,12,,14,,,,,,
1308,06/23/22 12:55:00,17,8,11,8,9,11,12,,17,,,,,,
1309,06/23/22 13:00:00,23,12,13,12,11,13,14,,22,,,,,,
1310,06/23/22 13:05:00,24,14,17,12,16,18,21,,24,,,,,,
1311,06/23/22 13:10:00,17,12,14,9,17,16,21,,21,,,,,,
1312,06/23/22 13:15:00,11,8,8,6,11,12,13,,13,,,,,,
1313,06/23/22 13:20:00,9,6,6,4,7,9,12,,11,,,,,,
1314,06/23/22 13:25:00,9,6,6,4,7,9,11,,11,,,,,,
1315,06/23/22 13:30:00,13,7,7,6,7,9,11,,13,,,,,,
1316,06/23/22 13:35:00,22,12,12,11,11,14,14,,19,,,,,,
1317,06/23/22 13:40:00,26,14,17,13,14,19,19,,26,,,,,,
1318,06/23/22 13:45:00,29,19,21,16,19,26,27,,32,,,,,,
1319,06/23/22 13:50:00,27,18,19,14,22,27,29,,29,,,,,,
1320,06/23/22 13:55:00,21,16,17,12,17,22,24,,23,,,,,,
1321,06/23/22 14:00:00,22,14,17,11,14,17,21,,24,,,,,,
1322,06/23/22 14:05:00,23,14,16,12,14,19,22,,26,,,,,,
1323,06/23/22 14:10:00,23,16,17,12,17,22,23,,26,,,,,,
1324,06/23/22 14:15:00,26,16,18,13,17,22,24,,27,,,,,,
1325,06/23/22 14:20:00,28,18,19,14,17,19,23,,31,,,,,,
1326,06/23/22 14:25:00,29,18,21,17,18,23,26,,32,,,,,,
1327,06/23/22 14:30:00,28,18,19,16,21,26,28,,32,,,,,,
1328,06/23/22 14:35:00,26,18,18,14,19,23,27,,28,,,,,,
1329,06/23/22 14:40:00,24,16,17,13,17,22,23,,26,,,,,,
1330,06/23/22 14:45:00,26,16,17,13,17,22,23,,26,,,,,,
1331,06/23/22 14:50:00,28,17,18,14,17,22,23,,29,,,,,,
1332,06/23/22 14:55:00,33,19,22,18,22,27,29,,34,,,,,,
1333,06/23/22 15:00:00,39,26,27,21,27,34,36,,41,,,,,,
1334,06/23/22 15:05:00,36,24,24,21,29,36,39,,39,,,,,,
1335,06/23/22 15:10:00,31,22,24,18,26,33,36,,37,,,,,,
1336,06/23/22 15:15:00,34,22,22,17,27,29,34,,34,,,,,,
1337,06/23/22 15:20:00,37,24,24,21,22,28,29,,39,,,,,,
1338,06/23/22 15:25:00,32,22,24,18,22,27,31,,36,,,,,,
1339,06/23/22 15:30:00,34,22,24,18,22,27,29,,37,,,,,,
1340,06/23/22 15:35:00,34,23,24,19,24,33,33,,38,,,,,,
1341,06/23/22 15:40:00,37,23,24,21,29,36,39,,39,,,,,,
1342,06/23/22 15:45:00,43,28,28,23,31,42,42,,44,,,,,,
1343,06/23/22 15:50:00,54,34,36,28,37,43,49,,56,,,,,,
1344,06/23/22 15:55:00,56,38,41,33,37,49,51,,62,,,,,,
1345,06/23/22 16:00:00,61,38,38,36,39,51,54,,63,,,,,,
1346,06/23/22 16:05:00,66,44,43,41,43,58,59,,72,,,,,,
1347,06/23/22 16:10:00,86,54,53,47,53,72,76,,87,,,,,,
1348,06/23/22 16:15:00,93,64,62,53,61,83,87,,99,,,,,,
1349,06/23/22 16:20:00,99,71,64,57,64,87,93,,104,,,,,,
1350,06/23/22 16:25:00,104,76,68,59,69,101,102,,111,,,,,,
1351,06/23/22 16:30:00,99,73,69,57,72,93,103,,109,,,,,,
1352,06/23/22 16:35:00,93,68,67,54,68,89,98,,103,,,,,,
1353,06/23/22 16:40:00,101,69,68,56,66,83,93,,107,,,,,,
1354,06/23/22 16:45:00,96,69,69,56,69,102,99,,107,,,,,,
1355,06/23/22 16:50:00,107,72,71,58,74,108,109,,112,,,,,,
1356,06/23/22 16:55:00,118,82,77,63,82,121,121,,121,,,,,,
1357,06/23/22 17:00:00,119,84,81,67,86,118,126,,128,,,,,,
1358,06/23/22 17:05:00,137,96,86,73,87,123,127,,138,,,,,,
1359,06/23/22 17:10:00,141,109,96,76,88,118,129,,149,,,,,,
1360,06/23/22 17:15:00,137,106,97,76,84,116,124,,149,,,,,,
1361,06/23/22 17:20:00,151,111,99,81,87,129,128,,154,,,,,,
1362,06/23/22 17:25:00,176,131,102,88,93,134,139,,169,,,,,,
1363,06/23/22 17:30:00,179,144,109,91,99,166,163,,179,,,,,,
1364,06/23/22 17:35:00,172,134,108,86,104,176,173,,171,,,,,,
1365,06/23/22 17:40:00,226,173,121,101,103,204,191,,221,,,,,,
1366,06/23/22 17:45:00,264,208,134,117,103,243,224,,252,,,,,,
1367,06/23/22 17:50:00,278,278,132,137,121,344,293,,294,,,,,,
1368,06/23/22 17:55:00,208,194,132,118,133,264,258,,231,,,,,,
1369,06/23/22 18:00:00,152,133,119,96,124,169,192,,184,,,,,,
1370,06/23/22 18:05:00,162,114,108,93,111,138,156,,172,,,,,,
1371,06/23/22 18:10:00,173,116,106,101,118,134,157,,176,,,,,,
1372,06/23/22 18:15:00,158,123,116,98,117,161,159,,183,,,,,,
1373,06/23/22 18:20:00,197,127,127,107,113,139,153,,201,,,,,,
1374,06/23/22 18:25:00,183,138,138,108,129,194,184,,211,,,,,,
1375,06/23/22 18:30:00,191,129,137,114,132,158,182,,213,,,,,,
1376,06/23/22 18:35:00,191,146,144,123,126,161,174,,228,,,,,,
1377,06/23/22 18:40:00,208,146,139,124,129,159,169,,226,,,,,,
1378,06/23/22 18:45:00,254,189,148,146,129,163,174,,259,,,,,,
1379,06/23/22 18:50:00,271,212,151,157,144,204,214,,277,,,,,,
1380,06/23/22 18:55:00,291,232,154,166,151,244,231,,293,,,,,,
1381,06/23/22 19:00:00,266,212,157,158,163,243,249,,281,,,,,,
1382,06/23/22 19:05:00,242,187,151,146,152,187,222,,257,,,,,,
1383,06/23/22 19:10:00,208,156,144,128,142,188,203,,234,,,,,,
1384,06/23/22 19:15:00,239,174,153,146,134,162,188,,258,,,,,,
1385,06/23/22 19:20:00,256,208,167,163,147,197,207,,287,,,,,,
1386,06/23/22 19:25:00,258,203,162,159,173,241,266,,283,,,,,,
1387,06/23/22 19:30:00,198,172,143,131,159,216,242,,237,,,,,,
1388,06/23/22 19:35:00,193,146,128,111,131,151,186,,204,,,,,,
1389,06/23/22 19:40:00,177,136,124,103,128,177,188,,194,,,,,,
1390,06/23/22 19:45:00,164,124,118,98,124,172,183,,184,,,,,,
1391,06/23/22 19:50:00,139,103,106,87,113,149,166,,162,,,,,,
1392,06/23/22 19:55:00,159,103,109,93,102,134,148,,171,,,,,,
1393,06/23/22 20:00:00,158,112,116,98,111,146,154,,182,,,,,,
1394,06/23/22 20:05:00,163,111,114,97,108,137,152,,178,,,,,,
1395,06/23/22 20:10:00,152,107,112,91,111,141,156,,171,,,,,,
1396,06/23/22 20:15:00,141,99,103,86,108,134,151,,159,,,,,,
1397,06/23/22 20:20:00,143,102,103,86,94,117,133,,161,,,,,,
1398,06/23/22 20:25:00,129,96,98,79,96,121,133,,151,,,,,,
1399,06/23/22 20:30:00,128,89,92,77,94,119,132,,143,,,,,,
1400,06/23/22 20:35:00,206,122,118,113,99,132,138,,196,,,,,,
1401,06/23/22 20:40:00,218,158,142,142,133,179,187,,241,,,,,,
1402,06/23/22 20:45:00,189,139,132,119,148,202,217,,213,,,,,,
1403,06/23/22 20:50:00,174,126,122,108,127,163,186,,194,,,,,,
1404,06/23/22 20:55:00,213,142,129,124,126,168,182,,216,,,,,,
1405,06/23/22 21:00:00,254,171,142,153,142,196,204,,256,,,,,,
1406,06/23/22 21:05:00,279,192,142,176,163,234,242,,274,,,,,,
1407,06/23/22 21:10:00,292,234,142,216,184,327,293,,312,,,,,,
1408,06/23/22 21:15:00,369,271,141,263,193,322,318,,352,,,,,,
1409,06/23/22 21:20:00,298,291,134,276,253,493,448,,367,,,,,,
1410,06/23/22 21:25:00,267,216,126,197,194,319,333,,283,,,,,,
1411,06/23/22 21:30:00,237,189,134,157,178,276,294,,256,,,,,,
1412,06/23/22 21:35:00,218,176,142,129,158,231,251,,238,,,,,,
1413,06/23/22 21:40:00,206,153,142,119,147,216,231,,223,,,,,,
1414,06/23/22 21:45:00,199,143,139,121,142,192,211,,219,,,,,,
1415,06/23/22 21:50:00,212,144,142,123,141,186,201,,223,,,,,,
1416,06/23/22 21:55:00,214,152,147,129,147,194,207,,232,,,,,,
1417,06/23/22 22:00:00,218,153,148,134,154,203,219,,237,,,,,,
1418,06/23/22 22:05:00,214,153,147,132,154,203,221,,234,,,,,,
1419,06/23/22 22:10:00,206,147,144,124,149,197,214,,227,,,,,,
1420,06/23/22 22:15:00,207,142,142,126,144,187,208,,224,,,,,,
1421,06/23/22 22:20:00,221,147,144,137,152,193,212,,237,,,,,,
1422,06/23/22 22:25:00,233,157,148,148,162,207,224,,249,,,,,,
1423,06/23/22 22:30:00,233,166,153,143,171,224,238,,252,,,,,,
1424,06/23/22 22:35:00,216,156,151,131,163,211,233,,238,,,,,,
1425,06/23/22 22:40:00,214,149,147,132,154,193,218,,234,,,,,,
1426,06/23/22 22:45:00,217,149,147,134,157,196,217,,237,,,,,,
1427,06/23/22 22:50:00,223,149,148,139,158,193,218,,243,,,,,,
1428,06/23/22 22:55:00,239,156,153,151,167,202,228,,256,,,,,,
1429,06/23/22 23:00:00,248,168,159,158,183,224,246,,269,,,,,,
1430,06/23/22 23:05:00,228,166,158,142,182,222,249,,257,,,,,,
1431,06/23/22 23:10:00,221,151,154,136,164,197,228,,244,,,,,,
1432,06/23/22 23:15:00,239,149,157,151,166,196,226,,258,,,,,,
1433,06/23/22 23:20:00,263,161,164,173,182,212,244,,283,,,,,,
1434,06/23/22 23:25:00,307,176,171,212,204,234,273,,318,,,,,,
1435,06/23/22 23:30:00,303,189,172,224,223,258,298,,331,,,,,,
1436,06/23/22 23:35:00,297,188,169,214,217,251,292,,323,,,,,,
1437,06/23/22 23:40:00,308,189,171,218,216,257,296,,327,,,,,,
1438,06/23/22 23:45:00,308,193,173,226,224,261,308,,331,,,,,,
1439,06/23/22 23:50:00,303,191,169,222,227,266,309,,327,,,,,,
1440,06/23/22 23:55:00,298,187,167,217,227,261,307,,321,,,,,,
1441,06/24/22 00:00:00,293,183,166,209,222,253,298,,312,,,,,,
1442,06/24/22 00:05:00,294,183,168,213,226,256,302,,317,,,,,,
1443,06/24/22 00:10:00,311,181,168,226,231,256,306,,327,,,,,,
1444,06/24/22 00:15:00,306,179,168,236,248,262,319,,333,,,,,,
1445,06/24/22 00:20:00,289,173,163,223,238,248,309,,318,,,,,,
1446,06/24/22 00:25:00,297,173,167,216,227,249,294,,314,,,,,,
1447,06/24/22 00:30:00,336,177,173,262,248,256,318,,354,,,,,,
1448,06/24/22 00:35:00,337,173,173,284,321,263,377,,369,,,,,,
1449,06/24/22 00:40:00,307,163,166,262,274,249,336,,347,,,,,,
1450,06/24/22 00:45:00,282,152,162,221,241,223,293,,313,,,,,,
1451,06/24/22 00:50:00,298,156,162,227,227,218,279,,318,,,,,,
1452,06/24/22 00:55:00,282,163,157,219,236,238,297,,308,,,,,,
1453,06/24/22 01:00:00,248,159,144,186,227,243,296,,273,,,,,,
1454,06/24/22 01:05:00,271,149,147,184,184,208,251,,272,,,,,,
1455,06/24/22 01:10:00,284,152,157,233,224,228,284,,314,,,,,,
1456,06/24/22 01:15:00,277,147,153,248,251,224,304,,324,,,,,,
1457,06/24/22 01:20:00,218,133,142,172,237,209,282,,257,,,,,,
1458,06/24/22 01:25:00,227,132,141,156,181,183,223,,244,,,,,,
1459,06/24/22 01:30:00,237,142,148,159,176,196,228,,256,,,,,,
1460,06/24/22 01:35:00,253,146,152,178,187,202,242,,272,,,,,,
1461,06/24/22 01:40:00,268,144,159,194,206,206,258,,291,,,,,,
1462,06/24/22 01:45:00,272,139,161,209,219,206,268,,299,,,,,,
1463,06/24/22 01:50:00,263,133,162,208,227,193,266,,298,,,,,,
1464,06/24/22 01:55:00,231,127,156,176,216,188,249,,268,,,,,,
1465,06/24/22 02:00:00,224,127,148,156,188,178,223,,249,,,,,,
1466,06/24/22 02:05:00,218,131,144,153,183,189,223,,246,,,,,,
1467,06/24/22 02:10:00,218,127,141,152,176,183,221,,242,,,,,,
1468,06/24/22 02:15:00,233,126,142,164,176,177,218,,251,,,,,,
1469,06/24/22 02:20:00,221,126,144,159,183,179,226,,249,,,,,,
1470,06/24/22 02:25:00,208,122,142,146,176,173,214,,237,,,,,,
1471,06/24/22 02:30:00,206,122,139,137,164,168,203,,228,,,,,,
1472,06/24/22 02:35:00,194,119,134,127,159,166,197,,217,,,,,,
1473,06/24/22 02:40:00,167,112,117,112,147,158,187,,191,,,,,,
1474,06/24/22 02:45:00,133,96,96,89,113,131,153,,156,,,,,,
1475,06/24/22 02:50:00,138,92,96,88,103,124,134,,154,,,,,,
1476,06/24/22 02:55:00,129,84,87,78,92,107,126,,138,,,,,,
1477,06/24/22 03:00:00,119,87,76,76,89,122,128,,131,,,,,,
1478,06/24/22 03:05:00,98,74,66,61,79,106,118,,108,,,,,,
1479,06/24/22 03:10:00,102,72,66,62,74,97,106,,109,,,,,,
1480,06/24/22 03:15:00,92,69,64,53,76,97,103,,102,,,,,,
1481,06/24/22 03:20:00,87,59,56,47,67,79,93,,88,,,,,,
1482,06/24/22 03:25:00,72,54,49,43,61,76,87,,81,,,,,,
1483,06/24/22 03:30:00,89,58,53,49,58,76,79,,88,,,,,,
1484,06/24/22 03:35:00,101,63,59,53,67,86,93,,98,,,,,,
1485,06/24/22 03:40:00,116,79,73,66,88,113,117,,119,,,,,,
1486,06/24/22 03:45:00,74,58,57,43,76,76,102,,87,,,,,,
1487,06/24/22 03:50:00,94,58,54,49,59,77,81,,88,,,,,,
1488,06/24/22 03:55:00,86,59,59,48,69,94,101,,91,,,,,,
1489,06/24/22 04:00:00,74,63,57,47,78,108,109,,88,,,,,,
1490,06/24/22 04:05:00,73,48,44,41,53,56,74,,72,,,,,,
1491,06/24/22 04:10:00,68,47,48,41,52,61,68,,76,,,,,,
1492,06/24/22 04:15:00,63,44,48,37,49,57,64,,73,,,,,,
1493,06/24/22 04:20:00,48,39,41,31,46,52,58,,61,,,,,,
1494,06/24/22 04:25:00,68,41,43,37,39,44,52,,67,,,,,,
1495,06/24/22 04:30:00,59,42,42,34,48,59,64,,66,,,,,,
1496,06/24/22 04:35:00,73,49,51,41,49,69,67,,78,,,,,,
1497,06/24/22 04:40:00,33,32,33,24,48,48,66,,48,,,,,,
1498,06/24/22 04:45:00,32,23,21,18,24,32,36,,34,,,,,,
1499,06/24/22 04:50:00,32,22,23,17,27,32,37,,36,,,,,,
1500,06/24/22 04:55:00,29,19,23,17,24,29,33,,34,,,,,,
1501,06/24/22 05:00:00,29,19,22,17,24,29,31,,32,,,,,,
1502,06/24/22 05:05:00,21,14,16,11,21,22,29,,23,,,,,,
1503,06/24/22 05:10:00,27,17,19,14,17,21,23,,28,,,,,,
1504,06/24/22 05:15:00,41,24,27,19,24,34,33,,39,,,,,,
1505,06/24/22 05:20:00,27,22,24,16,28,33,38,,34,,,,,,
1506,06/24/22 05:25:00,24,16,18,12,19,23,27,,26,,,,,,
1507,06/24/22 05:30:00,24,18,21,13,19,24,26,,28,,,,,,
1508,06/24/22 05:35:00,24,16,17,12,17,22,24,,26,,,,,,
1509,06/24/22 05:40:00,26,16,18,14,18,23,26,,28,,,,,,
1510,06/24/22 05:45:00,26,18,18,14,19,26,26,,29,,,,,,
1511,06/24/22 05:50:00,26,17,18,14,18,22,26,,28,,,,,,
1512,06/24/22 05:55:00,27,18,18,16,18,22,26,,29,,,,,,
1513,06/24/22 06:00:00,24,17,17,14,18,22,26,,27,,,,,,
1514,06/24/22 06:05:00,23,14,16,12,16,19,22,,24,,,,,,
1515,06/24/22 06:10:00,19,14,14,12,16,19,22,,23,,,,,,
1516,06/24/22 06:15:00,19,12,12,11,13,17,19,,19,,,,,,
1517,06/24/22 06:20:00,19,13,14,11,13,17,19,,21,,,,,,
1518,06/24/22 06:25:00,18,12,13,11,13,16,18,,21,,,,,,
1519,06/24/22 06:30:00,14,11,12,8,12,16,18,,18,,,,,,
1520,06/24/22 06:35:00,18,11,11,9,12,17,17,,17,,,,,,
1521,06/24/22 06:40:00,19,13,12,11,12,17,19,,19,,,,,,
1522,06/24/22 06:45:00,18,12,12,9,12,16,18,,19,,,,,,
1523,06/24/22 06:50:00,19,12,12,11,12,17,18,,19,,,,,,
1524,06/24/22 06:55:00,17,12,11,9,12,16,18,,18,,,,,,
1525,06/24/22 07:00:00,16,9,11,8,11,14,16,,17,,,,,,
1526,06/24/22 07:05:00,14,9,11,7,9,12,14,,16,,,,,,
1527,06/24/22 07:10:00,16,8,11,8,9,12,13,,16,,,,,,
1528,06/24/22 07:15:00,19,11,12,11,12,16,16,,19,,,,,,
1529,06/24/22 07:20:00,22,12,16,11,14,17,18,,23,,,,,,
1530,06/24/22 07:25:00,19,12,16,11,16,17,19,,22,,,,,,
1531,06/24/22 07:30:00,21,12,14,11,14,17,19,,22,,,,,,
1532,06/24/22 07:35:00,18,12,14,9,14,17,19,,21,,,,,,
1533,06/24/22 07:40:00,17,11,12,8,13,16,18,,19,,,,,,
1534,06/24/22 07:45:00,16,11,12,8,12,14,16,,17,,,,,,
1535,06/24/22 07:50:00,16,9,11,8,11,12,16,,17,,,,,,
1536,06/24/22 07:55:00,18,11,12,9,12,13,16,,18,,,,,,
1537,06/24/22 08:00:00,14,9,11,8,12,13,16,,17,,,,,,
1538,06/24/22 08:05:00,14,9,9,7,11,13,14,,14,,,,,,
1539,06/24/22 08:10:00,9,6,7,4,8,9,12,,11,,,,,,
1540,06/24/22 08:15:00,11,6,6,4,6,6,8,,9,,,,,,
1541,06/24/22 08:20:00,13,7,8,6,7,9,11,,13,,,,,,
1542,06/24/22 08:25:00,13,8,8,6,8,11,12,,13,,,,,,
1543,06/24/22 08:30:00,13,8,8,7,9,12,12,,13,,,,,,
1544,06/24/22 08:35:00,14,9,8,8,9,13,13,,14,,,,,,
1545,06/24/22 08:40:00,12,8,8,6,9,12,13,,13,,,,,,
1546,06/24/22 08:45:00,9,6,6,6,7,9,12,,11,,,,,,
1547,06/24/22 08:50:00,9,6,6,4,7,9,11,,11,,,,,,
1548,06/24/22 08:55:00,7,6,4,4,6,8,9,,8,,,,,,
1549,06/24/22 09:00:00,7,4,4,3,4,6,7,,7,,,,,,
1550,06/24/22 09:05:00,6,4,4,2,4,6,7,,7,,,,,,
1551,06/24/22 09:10:00,6,3,3,2,3,4,6,,6,,,,,,
1552,06/24/22 09:15:00,4,2,3,2,3,4,6,,4,,,,,,
1553,06/24/22 09:20:00,6,2,3,2,3,4,4,,6,,,,,,
1554,06/24/22 09:25:00,6,3,3,2,3,4,6,,6,,,,,,
1555,06/24/22 09:30:00,4,3,3,2,3,4,4,,6,,,,,,
1556,06/24/22 09:35:00,7,3,3,3,3,4,6,,7,,,,,,
1557,06/24/22 09:40:00,8,4,4,4,4,6,6,,8,,,,,,
1558,06/24/22 09:45:00,11,6,6,6,6,8,8,,11,,,,,,
1559,06/24/22 09:50:00,11,7,7,6,7,9,9,,12,,,,,,
1560,06/24/22 09:55:00,11,6,6,4,7,8,9,,11,,,,,,
1561,06/24/22 10:00:00,8,6,6,4,6,9,9,,9,,,,,,
1562,06/24/22 10:05:00,11,6,6,4,4,6,8,,9,,,,,,
1563,06/24/22 10:10:00,12,8,8,6,7,12,12,,13,,,,,,
1564,06/24/22 10:15:00,13,8,8,7,8,12,12,,13,,,,,,
1565,06/24/22 10:20:00,17,9,8,9,9,12,13,,16,,,,,,
1566,06/24/22 10:25:00,23,12,12,12,12,16,17,,21,,,,,,
1567,06/24/22 10:30:00,26,17,14,14,16,23,23,,24,,,,,,
1568,06/24/22 10:35:00,23,14,12,12,14,19,22,,22,,,,,,
1569,06/24/22 10:40:00,24,14,16,12,16,22,23,,23,,,,,,
1570,06/24/22 10:45:00,24,14,17,12,17,21,23,,23,,,,,,
1571,06/24/22 10:50:00,21,14,17,12,17,22,23,,23,,,,,,
1572,06/24/22 10:55:00,23,13,14,11,14,17,21,,21,,,,,,
1573,06/24/22 11:00:00,19,14,14,11,16,19,22,,21,,,,,,
1574,06/24/22 11:05:00,19,12,14,9,14,17,19,,21,,,,,,
1575,06/24/22 11:10:00,19,12,13,9,14,18,19,,19,,,,,,
1576,06/24/22 11:15:00,19,12,12,9,13,16,18,,19,,,,,,
1577,06/24/22 11:20:00,19,12,12,11,13,19,19,,19,,,,,,
1578,06/24/22 11:25:00,17,12,12,9,13,17,19,,18,,,,,,
1579,06/24/22 11:30:00,14,9,11,8,11,16,17,,16,,,,,,
1580,06/24/22 11:35:00,11,8,8,6,9,13,16,,12,,,,,,
1581,06/24/22 11:40:00,9,6,6,4,7,9,12,,9,,,,,,
1582,06/24/22 11:45:00,7,4,4,3,4,6,8,,7,,,,,,
1583,06/24/22 11:50:00,6,4,4,3,6,8,8,,7,,,,,,
1584,06/24/22 11:55:00,14,6,7,4,4,7,7,,11,,,,,,
1585,06/24/22 12:00:00,17,12,12,8,9,13,14,,18,,,,,,
1586,06/24/22 12:05:00,21,14,14,9,12,17,18,,21,,,,,,
1587,06/24/22 12:10:00,19,13,14,8,14,19,21,,19,,,,,,
1588,06/24/22 12:15:00,14,11,11,6,12,17,19,,14,,,,,,
1589,06/24/22 12:20:00,12,8,8,6,9,12,14,,12,,,,,,
1590,06/24/22 12:25:00,11,6,7,4,7,9,11,,11,,,,,,
1591,06/24/22 12:30:00,12,6,7,4,7,8,9,,12,,,,,,
1592,06/24/22 12:35:00,14,8,9,7,8,11,12,,14,,,,,,
1593,06/24/22 12:40:00,14,8,9,6,9,12,13,,14,,,,,,
1594,06/24/22 12:45:00,14,8,11,7,11,13,16,,14,,,,,,
1595,06/24/22 12:50:00,11,8,8,6,9,13,14,,13,,,,,,
1596,06/24/22 12:55:00,11,7,7,6,7,9,12,,11,,,,,,
1597,06/24/22 13:00:00,9,6,6,4,7,8,9,,9,,,,,,
1598,06/24/22 13:05:00,8,4,6,4,6,8,8,,8,,,,,,
1599,06/24/22 13:10:00,11,6,6,4,6,8,8,,11,,,,,,
1600,06/24/22 13:15:00,12,7,8,6,7,11,11,,12,,,,,,
1601,06/24/22 13:20:00,11,6,7,4,7,8,9,,11,,,,,,
1602,06/24/22 13:25:00,16,7,8,7,6,8,9,,13,,,,,,
1603,06/24/22 13:30:00,19,12,13,11,12,17,17,,21,,,,,,
1604,06/24/22 13:35:00,22,13,14,11,13,19,19,,21,,,,,,
1605,06/24/22 13:40:00,19,14,16,11,17,22,23,,23,,,,,,
1606,06/24/22 13:45:00,17,11,12,8,12,16,18,,17,,,,,,
1607,06/24/22 13:50:00,18,12,12,8,13,21,19,,18,,,,,,
1608,06/24/22 13:55:00,14,9,12,8,12,13,17,,17,,,,,,
1609,06/24/22 14:00:00,29,16,17,16,13,19,18,,27,,,,,,
1610,06/24/22 14:05:00,34,21,21,19,21,29,31,,33,,,,,,
1611,06/24/22 14:10:00,42,26,24,23,23,31,33,,41,,,,,,
1612,06/24/22 14:15:00,41,29,28,24,29,41,43,,44,,,,,,
1613,06/24/22 14:20:00,26,19,21,14,24,29,37,,29,,,,,,
1614,06/24/22 14:25:00,21,14,14,11,17,22,24,,22,,,,,,
1615,06/24/22 14:30:00,19,13,13,11,13,16,19,,21,,,,,,
1616,06/24/22 14:35:00,24,14,14,12,12,19,19,,23,,,,,,
1617,06/24/22 14:40:00,26,16,18,14,16,19,22,,27,,,,,,
1618,06/24/22 14:45:00,28,18,19,16,18,24,26,,29,,,,,,
1619,06/24/22 14:50:00,27,18,19,14,19,24,27,,29,,,,,,
1620,06/24/22 14:55:00,29,19,19,17,19,27,28,,31,,,,,,
1621,06/24/22 15:00:00,32,19,21,17,22,27,31,,32,,,,,,
1622,06/24/22 15:05:00,31,22,22,18,24,29,32,,34,,,,,,
1623,06/24/22 15:10:00,27,18,19,16,19,24,27,,29,,,,,,
1624,06/24/22 15:15:00,24,17,18,14,18,22,26,,27,,,,,,
1625,06/24/22 15:20:00,23,14,16,12,16,21,23,,23,,,,,,
1626,06/24/22 15:25:00,28,17,18,14,17,23,26,,28,,,,,,
1627,06/24/22 15:30:00,33,21,22,18,22,29,31,,33,,,,,,
1628,06/24/22 15:35:00,36,24,24,21,23,28,32,,38,,,,,,
1629,06/24/22 15:40:00,38,24,27,22,26,32,34,,41,,,,,,
1630,06/24/22 15:45:00,49,29,32,27,31,41,42,,48,,,,,,
1631,06/24/22 15:50:00,52,34,37,29,36,47,51,,54,,,,,,
1632,06/24/22 15:55:00,47,32,34,27,36,44,49,,51,,,,,,
1633,06/24/22 16:00:00,46,32,33,27,34,43,48,,51,,,,,,
1634,06/24/22 16:05:00,47,32,33,27,33,46,48,,51,,,,,,
1635,06/24/22 16:10:00,54,36,37,31,36,47,49,,56,,,,,,
1636,06/24/22 16:15:00,54,37,38,31,39,48,54,,58,,,,,,
1637,06/24/22 16:20:00,61,39,41,34,42,56,58,,63,,,,,,
1638,06/24/22 16:25:00,73,49,48,41,47,63,66,,74,,,,,,
1639,06/24/22 16:30:00,53,41,44,33,46,51,62,,64,,,,,,
1640,06/24/22 16:35:00,71,43,44,39,39,52,54,,71,,,,,,
1641,06/24/22 16:40:00,66,49,51,39,49,68,68,,74,,,,,,
