Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
291,12/03/23 19:00:00,1,1,1,1,,,,,
292,12/03/23 19:20:00,,,,,1,,,,
293,12/03/23 19:35:00,,,,,1,,,,
294,12/03/23 19:50:00,,,,,1,,,,
295,12/03/23 20:00:00,1,1,1,1,1,,,,
296,12/03/23 20:05:00,,,,,1,,,,
297,12/03/23 21:00:00,1,1,1,1,,,,,
298,12/03/23 22:00:00,1,1,1,1,,,,,
299,12/03/23 23:00:00,1,1,1,1,,,,,
300,12/04/23 00:00:00,1,1,1,1,,,,,
301,12/04/23 01:00:00,1,1,1,1,,,,,
302,12/04/23 02:00:00,1,1,1,1,,,,,
303,12/04/23 02:20:00,,,,,1,,,,
304,12/04/23 02:25:00,,,,,1,,,,
305,12/04/23 02:30:00,,,,,1,,,,
306,12/04/23 02:35:00,,,,,1,,,,
307,12/04/23 02:40:00,,,,,1,,,,
308,12/04/23 02:45:00,,,,,1,,,,
309,12/04/23 03:00:00,1,1,1,1,1,,,,
310,12/04/23 04:00:00,1,1,1,1,,,,,
311,12/04/23 04:40:00,,,,,1,,,,
312,12/04/23 04:45:00,,,,,1,,,,
313,12/04/23 05:00:00,1,1,1,1,1,,,,
314,12/04/23 05:05:00,,,,,1,,,,
315,12/04/23 05:15:00,,,,,1,,,,
316,12/04/23 05:25:00,,,,,1,,,,
317,12/04/23 05:40:00,,,,,1,,,,
318,12/04/23 06:00:00,1,1,1,1,1,,,,
319,12/04/23 06:45:00,,,,,1,,,,
320,12/04/23 06:55:00,,,,,1,,,,
321,12/04/23 07:00:00,1,1,1,1,1,,,,
322,12/04/23 07:10:00,,,,,1,,,,
323,12/04/23 07:25:00,,,,,1,,,,
324,12/04/23 07:30:00,,,,,1,,,,
325,12/04/23 08:00:00,1,1,1,1,,,,,
326,12/04/23 08:45:00,,,,,1,,,,
327,12/04/23 08:50:00,,,,,1,,,,
328,12/04/23 08:55:00,,,,,1,,,,
329,12/04/23 09:00:00,1,1,1,1,1,,,,
330,12/04/23 09:05:00,,,,,1,,,,
331,12/04/23 09:10:00,,,,,1,,,,
332,12/04/23 09:20:00,,,,,1,,,,
333,12/04/23 09:25:00,,,,,1,,,,
334,12/04/23 09:30:00,,,,,1,,,,
335,12/04/23 09:35:00,,,,,1,,,,
336,12/04/23 09:50:00,,,,,1,,,,
337,12/04/23 10:00:00,1,1,1,1,,,,,
338,12/04/23 10:10:00,,,,,1,,,,
339,12/04/23 11:00:00,1,1,1,1,,,,,
340,12/04/23 11:05:00,,,,,1,,,,
341,12/04/23 11:10:00,,,,,1,,,,
342,12/04/23 11:15:00,,,,,1,,,,
343,12/04/23 11:25:00,,,,,1,,,,
344,12/04/23 12:00:00,1,1,1,1,,,,,
345,12/04/23 13:00:00,1,1,1,1,,,,,
346,12/04/23 13:20:00,,,,,1,,,,
347,12/04/23 13:25:00,,,,,1,,,,
348,12/04/23 13:30:00,,,,,1,,,,
349,12/04/23 13:40:00,,,,,1,,,,
350,12/04/23 13:50:00,,,,,1,,,,
351,12/04/23 13:55:00,,,,,1,,,,
352,12/04/23 14:00:00,1,1,1,1,1,,,,
353,12/04/23 14:10:00,,,,,1,,,,
354,12/04/23 14:15:00,,,,,1,,,,
355,12/04/23 15:00:00,1,1,1,1,,,,,
356,12/04/23 15:15:00,,,,,1,,,,
357,12/04/23 15:20:00,,,,,1,,,,
358,12/04/23 15:45:00,,,,,1,,,,
359,12/04/23 15:50:00,,,,,1,,,,
360,12/04/23 15:55:00,,,,,1,,,,
361,12/04/23 16:00:00,1,1,1,1,1,,,,
362,12/04/23 16:20:00,,,,,1,,,,
363,12/04/23 17:00:00,1,1,1,1,,,,,
364,12/04/23 18:00:00,1,1,1,1,,,,,
365,12/04/23 19:00:00,1,1,1,1,,,,,
366,12/04/23 20:00:00,1,1,1,1,,,,,
367,12/04/23 21:00:00,1,1,1,1,,,,,
368,12/04/23 22:00:00,1,1,1,1,,,,,
369,12/04/23 23:00:00,1,1,1,1,,,,,
370,12/05/23 00:00:00,1,1,1,1,,,,,
371,12/05/23 01:00:00,1,1,1,1,,,,,
372,12/05/23 02:00:00,1,1,1,1,,,,,
373,12/05/23 03:00:00,1,1,1,1,,,,,
374,12/05/23 04:00:00,1,1,1,1,,,,,
375,12/05/23 05:00:00,1,1,1,1,,,,,
376,12/05/23 06:00:00,1,1,1,1,,,,,
377,12/05/23 07:00:00,1,1,1,1,,,,,
378,12/05/23 08:00:00,1,1,1,1,,,,,
379,12/05/23 09:00:00,1,1,1,1,,,,,
380,12/05/23 09:55:00,,,,,1,,,,
381,12/05/23 10:00:00,1,1,1,1,,,,,
382,12/05/23 11:00:00,1,1,1,1,,,,,
383,12/05/23 12:00:00,1,1,1,1,,,,,
384,12/05/23 13:00:00,1,1,1,1,,,,,
385,12/05/23 14:00:00,1,1,1,1,,,,,
386,12/05/23 15:00:00,1,1,1,1,,,,,
387,12/05/23 16:00:00,1,1,1,1,,,,,
388,12/05/23 17:00:00,1,1,1,1,,,,,
389,12/05/23 18:00:00,1,1,1,1,,,,,
390,12/05/23 19:00:00,1,1,1,1,,,,,
391,12/05/23 20:00:00,1,1,1,1,,,,,
392,12/05/23 21:00:00,1,1,1,1,,,,,
393,12/05/23 22:00:00,1,1,1,1,,,,,
394,12/05/23 23:00:00,1,1,1,1,,,,,
395,12/06/23 00:00:00,1,1,1,1,,,,,
396,12/06/23 01:00:00,1,1,1,1,,,,,
397,12/06/23 02:00:00,1,1,1,1,,,,,
