Line#,Date,"Wind Direction (S-WDA 21198259:21167037-1), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21181033-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21398709-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21198259:21206909-3), *, RX3000_BRW1_TNHA","Wind Direction (RXW-WCF 21401801:21206911-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21206912-3), *, RX3000_BRW4_SSMH","Wind Direction (RXW-WCF 21401801:21398711-3), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401801:21350820-1), *, RX3000_BRW4_SSMH","Wind Direction (S-WDA 21401803:21350855-1), *, RX3000_BRW6_BEO"
348,12/04/23 01:00:00,6,166,160,124,,,,,
349,12/04/23 02:00:00,354,154,160,125,,,,,
350,12/04/23 02:20:00,,,,,,226,37,,
351,12/04/23 02:25:00,,,,,,215,27,,
352,12/04/23 02:30:00,,,,,,216,27,,
353,12/04/23 02:35:00,,,,,,220,27,,
354,12/04/23 02:40:00,,,,,,,27,,
355,12/04/23 02:50:00,,,,,,,35,,
356,12/04/23 02:55:00,,,,,,226,,,
357,12/04/23 03:00:00,95,111,166,124,,215,34,,
358,12/04/23 03:05:00,,,,,,208,,,
359,12/04/23 03:10:00,,,,,,,32,,
360,12/04/23 03:20:00,,,,,,211,42,,
361,12/04/23 04:00:00,357,104,163,125,,,,,
362,12/04/23 04:20:00,,,,,,,31,,
363,12/04/23 04:35:00,,,,,,,45,,
364,12/04/23 04:45:00,,,,,,,38,,
365,12/04/23 04:55:00,,,,,,,55,,
366,12/04/23 05:00:00,222,104,150,125,,248,49,,
367,12/04/23 05:05:00,,,,,,,48,,
368,12/04/23 05:40:00,,,,,,239,46,,
369,12/04/23 05:45:00,,,,,,,44,,
370,12/04/23 05:55:00,,,,,,232,35,,
371,12/04/23 06:00:00,209,107,147,128,,,42,,
372,12/04/23 06:45:00,,,,,,216,42,,
373,12/04/23 06:50:00,,,,,,,41,,
374,12/04/23 06:55:00,,,,,,230,,,
375,12/04/23 07:00:00,204,101,147,126,,,41,,
376,12/04/23 07:05:00,,,,,,220,32,,
377,12/04/23 07:10:00,,,,,,216,28,,
378,12/04/23 07:15:00,,,,,,216,,,
379,12/04/23 07:20:00,,,,,,211,,,
380,12/04/23 07:25:00,,,,,,206,31,,
