Line#,Date,"Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398664-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1_TNHA","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401800:21187245-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401800:21397542-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398659-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398660-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398661-1), *C, RX3000_BRW5_BUECI","Temperature (RXW-THC 21401800:21398668-1), *C, RX3000_BRW5_BUECI","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6_BEO","Temperature (S-THC 21198259:21390850-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21198259:21398666-1), *C, RX3000_BRW1_TNHA","Temperature (RXW-THC 21401801:21380922-1), *C, RX3000_BRW4_SSMH","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4_SSMH","Temperature (RXW-THC 21401801:21398667-1), *C, RX3000_BRW4_SSMH"
13174,08/20/23 03:50:00,,,,,6.99,,,,,,,,,,8.60,5.740,5.90
13175,08/20/23 03:55:00,,,,,6.93,,,,,,,,,,7.85,5.848,5.70
13176,08/20/23 04:00:00,,,,,6.24,,,,,,,,,,5.81,5.526,5.40
13177,08/20/23 04:05:00,,,,,5.68,,,,,,,,,,5.60,5.419,5.36
13178,08/20/23 04:10:00,,,,,5.72,,,,,,,,,,6.05,5.419,5.49
13179,08/20/23 04:15:00,,,,,5.77,,,,,,,,,,5.92,5.590,5.70
13180,08/20/23 04:20:00,,,,,5.77,,,,,,,,,,6.07,5.676,5.75
13181,08/20/23 04:25:00,,,,,5.79,,,,,,,,,,6.15,5.762,5.90
13182,08/20/23 04:30:00,,,,,5.77,,,,,,,,,,6.09,5.826,5.83
13183,08/20/23 04:35:00,,,,,5.75,,,,,,,,,,6.02,5.826,5.75
13184,08/20/23 04:40:00,,,,,5.68,,,,,,,,,,5.92,5.869,5.79
13185,08/20/23 04:45:00,,,,,5.72,,,,,,,,,,5.81,5.912,5.68
13186,08/20/23 04:50:00,,,,,5.70,,,,,,,,,,5.77,5.912,5.79
13187,08/20/23 04:55:00,,,,,5.79,,,,,,,,,,5.85,6.126,5.83
13188,08/20/23 05:00:00,,,,,5.81,,,,,,,,,,5.85,5.933,5.90
13189,08/20/23 05:05:00,,,,,5.77,,,,,,,,,,5.77,5.890,5.83
13190,08/20/23 05:10:00,,,,,5.66,,,,,,,,,,5.68,5.762,5.70
13191,08/20/23 05:15:00,,,,,5.57,,,,,,,,,,5.34,5.848,5.66
13192,08/20/23 05:20:00,,,,,5.51,,,,,,,,,,4.76,5.719,5.42
13193,08/20/23 05:25:00,,,,,5.32,,,,,,,,,,4.57,5.719,5.40
13194,08/20/23 05:30:00,,,,,5.32,,,,,,,,,,4.52,5.654,5.34
13195,08/20/23 05:35:00,,,,,5.32,,,,,,,,,,4.72,5.676,5.36
13196,08/20/23 05:40:00,,,,,5.38,,,,,,,,,,4.87,5.654,5.36
13197,08/20/23 05:45:00,,,,,5.38,,,,,,,,,,5.06,5.912,5.49
13198,08/20/23 05:50:00,,,,,5.49,,,,,,,,,,5.21,6.663,5.57
13199,08/20/23 05:55:00,,,,,5.57,,,,,,,,,,5.25,6.641,5.72
13200,08/20/23 06:00:00,,,,,5.72,,,,,,,,,,5.30,6.083,5.81
13201,08/20/23 06:05:00,,,,,5.72,,,,,,,,,,5.30,6.212,5.85
13202,08/20/23 06:10:00,,,,,5.79,,,,,,,,,,5.47,6.148,5.85
13203,08/20/23 06:15:00,,,,,5.77,,,,,,,,,,5.42,6.898,5.77
13204,08/20/23 06:20:00,,,,,5.60,,,,,,,,,,4.95,6.298,5.70
13205,08/20/23 06:25:00,,,,,5.55,,,,,,,,,,4.87,5.740,5.60
13206,08/20/23 06:30:00,,,,,5.42,,,,,,,,,,4.50,5.526,5.45
13207,08/20/23 06:35:00,,,,,5.36,,,,,,,,,,4.42,5.461,5.38
13208,08/20/23 06:40:00,,,,,5.38,,,,,,,,,,4.61,5.461,5.53
13209,08/20/23 06:45:00,,,,,5.38,,,,,,,,,,4.67,5.461,5.57
13210,08/20/23 06:50:00,,,,,5.38,,,,,,,,,,4.74,5.419,5.53
13211,08/20/23 06:55:00,,,,,5.49,,,,,,,,,,5.08,5.547,5.77
13212,08/20/23 07:00:00,,,,,5.60,,,,,,,,,,5.21,5.633,5.81
13213,08/20/23 07:05:00,,,,,5.60,,,,,,,,,,5.21,6.491,5.77
13214,08/20/23 07:10:00,,,,,5.57,,,,,,,,,,4.95,6.234,5.81
13215,08/20/23 07:15:00,,,,,5.62,,,,,,,,,,4.84,5.826,5.81
13216,08/20/23 07:20:00,,,,,5.55,,,,,,,,,,4.76,5.612,5.68
13217,08/20/23 07:25:00,,,,,5.38,,,,,,,,,,4.74,5.440,5.45
13218,08/20/23 07:30:00,,,,,5.38,,,,,,,,,,4.76,5.440,5.57
13219,08/20/23 07:35:00,,,,,5.45,,,,,,,,,,4.84,5.440,5.68
13220,08/20/23 07:40:00,,,,,5.51,,,,,,,,,,4.91,5.483,5.62
13221,08/20/23 07:45:00,,,,,5.40,,,,,,,,,,4.87,5.440,5.51
13222,08/20/23 07:50:00,,,,,5.42,,,,,,,,,,4.95,5.483,5.51
13223,08/20/23 07:55:00,,,,,5.36,,,,,,,,,,4.93,5.419,5.47
13224,08/20/23 08:00:00,,,,,5.42,,,,,,,,,,5.08,5.440,5.47
13225,08/20/23 08:05:00,,,,,4.72,,,,,,,,,,4.48,5.226,4.80
13226,08/20/23 08:10:00,,,,,4.65,,,,,,,,,,4.44,5.054,4.72
13227,08/20/23 08:15:00,,,,,4.54,,,,,,,,,,4.29,4.925,4.54
13228,08/20/23 08:20:00,,,,,4.65,,,,,,,,,,4.29,4.904,4.57
13229,08/20/23 08:25:00,,,,,4.67,,,,,,,,,,4.24,4.968,4.67
13230,08/20/23 08:30:00,,,,,4.74,,,,,,,,,,4.33,4.968,4.72
13231,08/20/23 08:35:00,,,,,4.74,,,,,,,,,,4.42,5.011,4.80
13232,08/20/23 08:40:00,,,,,4.78,,,,,,,,,,4.29,4.990,4.74
13233,08/20/23 08:45:00,,,,,4.72,,,,,,,,,,4.24,4.968,4.78
13234,08/20/23 08:50:00,,,,,4.80,,,,,,,,,,4.29,4.990,4.72
13235,08/20/23 08:55:00,,,,,4.63,,,,,,,,,,4.29,5.054,4.74
13236,08/20/23 09:00:00,,,,,4.69,,,,,,,,,,4.22,5.140,4.74
13237,08/20/23 09:05:00,,,,,4.67,,,,,,,,,,4.29,5.268,4.82
13238,08/20/23 09:10:00,,,,,4.72,,,,,,,,,,4.33,5.333,4.87
13239,08/20/23 09:15:00,,,,,4.74,,,,,,,,,,4.39,5.311,4.91
13240,08/20/23 09:20:00,,,,,4.87,,,,,,,,,,4.52,5.226,4.87
13241,08/20/23 09:25:00,,,,,4.89,,,,,,,,,,4.48,5.140,4.91
13242,08/20/23 09:30:00,,,,,4.93,,,,,,,,,,4.46,5.097,4.84
13243,08/20/23 09:35:00,,,,,4.76,,,,,,,,,,4.42,5.032,4.84
13244,08/20/23 09:40:00,,,,,4.72,,,,,,,,,,4.39,5.032,4.84
13245,08/20/23 09:45:00,,,,,4.76,,,,,,,,,,4.37,4.990,4.80
13246,08/20/23 09:50:00,,,,,4.76,,,,,,,,,,4.31,5.011,4.82
13247,08/20/23 09:55:00,,,,,4.78,,,,,,,,,,4.35,5.032,4.82
13248,08/20/23 10:00:00,,,,,4.74,,,,,,,,,,4.22,5.140,4.78
13249,08/20/23 10:05:00,,,,,4.67,,,,,,,,,,4.12,5.118,4.67
13250,08/20/23 10:10:00,,,,,4.61,,,,,,,,,,4.18,5.118,4.74
13251,08/20/23 10:15:00,,,,,4.69,,,,,,,,,,4.29,5.183,4.97
13252,08/20/23 10:20:00,,,,,4.78,,,,,,,,,,4.14,5.204,5.04
13253,08/20/23 10:25:00,,,,,4.80,,,,,,,,,,4.14,5.311,5.10
13254,08/20/23 10:30:00,,,,,4.89,,,,,,,,,,4.16,5.354,5.17
13255,08/20/23 10:35:00,,,,,5.02,,,,,,,,,,4.39,5.397,5.27
13256,08/20/23 10:40:00,,,,,5.17,,,,,,,,,,4.57,5.569,5.40
13257,08/20/23 10:45:00,,,,,5.32,,,,,,,,,,4.65,5.654,5.51
13258,08/20/23 10:50:00,,,,,4.29,,,,,,,,,,3.17,4.925,4.20
13259,08/20/23 10:55:00,,,,,4.18,,,,,,,,,,3.56,4.818,4.54
13260,08/20/23 11:00:00,,,,,4.91,,,,,,,,,,4.03,5.204,5.02
13261,08/20/23 11:05:00,,,,,5.06,,,,,,,,,,4.35,5.419,5.32
13262,08/20/23 11:10:00,,,,,5.15,,,,,,,,,,4.59,5.504,5.36
13263,08/20/23 11:15:00,,,,,5.27,,,,,,,,,,4.65,5.590,5.51
13264,08/20/23 11:20:00,,,,,5.27,,,,,,,,,,4.69,5.461,5.38
13265,08/20/23 11:25:00,,,,,5.15,,,,,,,,,,4.69,5.333,5.30
13266,08/20/23 11:30:00,,,,,5.04,,,,,,,,,,4.63,5.204,5.19
13267,08/20/23 11:35:00,,,,,5.00,,,,,,,,,,4.54,5.054,5.17
13268,08/20/23 11:40:00,,,,,5.00,,,,,,,,,,4.59,5.118,5.21
13269,08/20/23 11:45:00,,,,,5.04,,,,,,,,,,4.54,5.140,5.23
13270,08/20/23 11:50:00,,,,,4.97,,,,,,,,,,4.52,5.075,5.21
13271,08/20/23 11:55:00,,,,,5.00,,,,,,,,,,4.61,5.032,5.15
13272,08/20/23 12:00:00,,,,,5.04,,,,,,,,,,4.57,5.054,5.19
