Line#,Date,"Temperature (RXW-THC 21198259:21398674-1), *C, RX3000_BRW1","Temperature (S-THC 21198259:21218018-1), *C, RX3000_BRW1","Temperature (RXW-THC 21198259:21380919-1), *C, RX3000_BRW1","Temperature (S-THC 21401803:21397541-1), *C, RX3000_BRW6","Temperature (S-THC 21401801:21390849-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398665-1), *C, RX3000_BRW4","Temperature (RXW-THC 21401801:21398670-1), *C, RX3000_BRW4"
1,12/01/22 00:00:00,-2.34,-2.474,-2.47,-2.646,,,
2,12/01/22 00:05:00,,,,,128.830,-2.53,-2.45
3,12/01/22 00:30:00,-2.45,-2.582,-2.47,-2.775,,,
4,12/01/22 00:35:00,,,,,128.830,-2.68,-2.66
5,12/01/22 01:00:00,-2.30,-2.496,-2.51,-2.903,,,
6,12/01/22 01:05:00,,,,,128.830,-2.60,-2.86
7,12/01/22 01:30:00,-2.43,-2.603,-2.66,-2.946,,,
8,12/01/22 01:35:00,,,,,128.830,-2.68,-2.83
9,12/01/22 02:00:00,-2.56,-2.710,-2.73,-2.968,,,
10,12/01/22 02:05:00,,,,,128.830,-2.83,-2.73
11,12/01/22 02:30:00,-2.64,-2.839,-2.92,-3.010,,,
12,12/01/22 02:35:00,,,,,128.830,-2.98,-2.77
13,12/01/22 03:00:00,-2.64,-2.903,-3.07,-3.397,,,
14,12/01/22 03:05:00,,,,,128.830,-2.96,-3.01
15,12/01/22 03:30:00,-2.68,-2.839,-2.94,-3.246,,,
16,12/01/22 03:35:00,,,,,128.830,-3.07,-3.03
17,12/01/22 04:00:00,-2.86,-3.010,-3.11,-3.354,,,
18,12/01/22 04:05:00,,,,,128.830,-3.13,-2.98
19,12/01/22 04:30:00,-3.05,-3.246,-3.28,-3.675,,,
20,12/01/22 04:35:00,,,,,128.830,-3.37,-3.33
21,12/01/22 05:00:00,-3.05,-3.204,-3.28,-3.590,,,
22,12/01/22 05:05:00,,,,,128.830,-3.46,-3.24
23,12/01/22 05:30:00,-3.78,-3.847,-3.71,-4.233,,,
24,12/01/22 05:35:00,,,,,128.830,-4.08,-3.93
25,12/01/22 06:00:00,-4.10,-4.147,-4.10,-4.490,,,
26,12/01/22 06:05:00,,,,,128.830,-4.40,-4.25
27,12/01/22 06:30:00,-4.40,-4.447,-4.34,-4.705,,,
28,12/01/22 06:35:00,,,,,128.830,-4.72,-4.57
29,12/01/22 07:00:00,-4.81,-4.876,-4.64,-5.069,,,
30,12/01/22 07:05:00,,,,,128.830,-5.07,-4.98
31,12/01/22 07:30:00,-5.13,-5.177,-4.91,-5.413,,,
32,12/01/22 07:35:00,,,,,128.830,-5.37,-5.24
33,12/01/22 08:00:00,-5.32,-5.348,-5.22,-5.520,,,
34,12/01/22 08:05:00,,,,,128.830,-5.58,-5.47
35,12/01/22 08:30:00,-5.45,-5.477,-5.30,-5.713,,,
36,12/01/22 08:35:00,,,,,128.830,-5.75,-5.62
37,12/01/22 09:00:00,-5.71,-5.756,-5.58,-5.970,,,
38,12/01/22 09:05:00,,,,,128.830,-6.01,-5.86
39,12/01/22 09:30:00,-5.88,-5.949,-5.77,-6.142,,,
40,12/01/22 09:35:00,,,,,128.830,-6.22,-6.07
41,12/01/22 10:00:00,-6.05,-6.078,-5.90,-6.442,,,
42,12/01/22 10:05:00,,,,,128.830,-6.44,-6.27
43,12/01/22 10:30:00,-6.37,-6.506,-6.27,-7.000,,,
44,12/01/22 10:35:00,,,,,128.830,-6.80,-6.65
45,12/01/22 11:00:00,-6.50,-6.635,-6.48,-7.257,,,
46,12/01/22 11:05:00,,,,,128.830,-7.00,-6.55
47,12/01/22 11:30:00,-6.78,-6.914,-6.74,-7.729,,,
48,12/01/22 11:35:00,,,,,128.830,-7.02,-6.70
49,12/01/22 12:00:00,-6.93,-7.043,-6.93,-7.472,,,
50,12/01/22 12:05:00,,,,,128.830,-7.15,-7.02
51,12/01/22 12:30:00,-7.00,-7.000,-6.97,-7.579,,,
52,12/01/22 12:35:00,,,,,128.830,-7.30,-7.23
53,12/01/22 13:00:00,-6.97,-7.193,-7.06,-7.772,,,
54,12/01/22 13:05:00,,,,,128.830,-7.40,-7.23
55,12/01/22 13:30:00,-6.97,-7.128,-7.02,-7.708,,,
56,12/01/22 13:35:00,,,,,128.830,-7.42,-7.25
57,12/01/22 14:00:00,-6.89,-7.043,-7.04,-7.965,,,
58,12/01/22 14:05:00,,,,,128.830,-7.34,-7.32
59,12/01/22 14:30:00,-7.25,-7.429,-7.34,-7.986,,,
60,12/01/22 14:35:00,,,,,128.830,-7.64,-7.55
61,12/01/22 15:00:00,-7.30,-7.407,-7.38,-8.265,,,
62,12/01/22 15:05:00,,,,,128.830,-7.75,-7.90
63,12/01/22 15:30:00,-7.10,-7.193,-7.19,-7.343,,,
64,12/01/22 15:35:00,,,,,128.830,-7.57,-7.51
65,12/01/22 16:00:00,-6.72,-6.850,-6.85,-6.549,,,
66,12/01/22 16:05:00,,,,,128.830,-7.06,-7.00
67,12/01/22 16:30:00,-6.55,-6.635,-6.63,-6.807,,,
68,12/01/22 16:35:00,,,,,128.830,-6.95,-6.97
69,12/01/22 17:00:00,-6.42,-6.464,-6.44,-6.549,,,
70,12/01/22 17:05:00,,,,,128.830,-6.59,-6.46
71,12/01/22 17:30:00,-6.07,-5.992,-6.01,-5.799,,,
72,12/01/22 17:35:00,,,,,128.830,-6.14,-5.77
73,12/01/22 18:00:00,-5.84,-5.842,-5.90,-5.842,,,
74,12/01/22 18:05:00,,,,,128.830,-5.97,-5.82
75,12/01/22 18:30:00,-5.49,-5.413,-5.43,-5.498,,,
76,12/01/22 18:35:00,,,,,128.830,-5.58,-5.39
77,12/01/22 19:00:00,-5.24,-5.134,-5.26,-5.284,,,
78,12/01/22 19:05:00,,,,,128.830,-5.49,-5.26
79,12/01/22 19:30:00,-4.23,-4.254,-4.23,-4.490,,,
80,12/01/22 19:35:00,,,,,128.830,-4.27,-4.23
81,12/01/22 20:00:00,-3.78,-4.061,-3.86,-4.147,,,
82,12/01/22 20:05:00,,,,,128.830,-3.99,-3.82
83,12/01/22 20:30:00,-3.86,-3.890,-3.84,-4.297,,,
84,12/01/22 20:35:00,,,,,128.830,-3.93,-3.78
85,12/01/22 21:00:00,-4.01,-3.890,-3.86,-4.319,,,
86,12/01/22 21:05:00,,,,,128.830,-4.14,-2.81
87,12/01/22 21:30:00,-3.89,-3.783,-3.74,-4.083,,,
88,12/01/22 21:35:00,,,,,128.830,-4.01,-3.76
89,12/01/22 22:00:00,-4.66,-4.748,-4.66,-5.155,,,
90,12/01/22 22:05:00,,,,,128.830,-4.96,-4.76
91,12/01/22 22:30:00,-5.60,-5.734,-5.62,-5.885,,,
92,12/01/22 22:35:00,,,,,128.830,-5.56,-5.64
93,12/01/22 23:00:00,-5.73,-6.142,-6.01,-6.142,,,
94,12/01/22 23:05:00,,,,,128.830,-6.09,-5.94
95,12/01/22 23:30:00,-5.94,-6.099,-5.99,-6.185,,,
96,12/01/22 23:35:00,,,,,128.830,-6.03,-5.97
97,12/02/22 00:00:00,-5.92,-6.035,-5.92,-6.185,,,
98,12/02/22 00:05:00,,,,,128.830,-5.99,-5.94
99,12/02/22 00:30:00,-6.03,-6.142,-6.03,-6.271,,,
100,12/02/22 00:35:00,,,,,128.830,-6.18,-6.05
101,12/02/22 01:00:00,-6.03,-6.078,-6.01,-6.271,,,
102,12/02/22 01:05:00,,,,,128.830,-6.24,-6.01
103,12/02/22 01:30:00,-5.90,-5.927,-5.90,-6.206,,,
104,12/02/22 01:35:00,,,,,128.830,-6.12,-5.88
105,12/02/22 02:00:00,-5.77,-5.756,-5.75,-6.078,,,
106,12/02/22 02:05:00,,,,,128.830,-6.05,-5.99
107,12/02/22 02:30:00,-5.75,-5.756,-5.77,-5.992,,,
108,12/02/22 02:35:00,,,,,128.830,-5.97,-5.90
109,12/02/22 03:00:00,-5.71,-5.734,-5.71,-6.035,,,
110,12/02/22 03:05:00,,,,,128.830,-5.90,-5.71
111,12/02/22 03:30:00,-5.62,-5.627,-5.60,-5.949,,,
112,12/02/22 03:35:00,,,,,128.830,-5.84,-5.69
113,12/02/22 04:00:00,-5.60,-5.627,-5.62,-5.863,,,
114,12/02/22 04:05:00,,,,,128.830,-5.82,-5.62
115,12/02/22 04:30:00,-5.71,-5.777,-5.73,-5.927,,,
116,12/02/22 04:35:00,,,,,128.830,-5.88,-5.71
117,12/02/22 05:00:00,-5.54,-5.477,-5.52,-5.649,,,
118,12/02/22 05:05:00,,,,,128.830,-5.75,-5.62
119,12/02/22 05:30:00,-4.96,-5.198,-5.19,-5.370,,,
120,12/02/22 05:35:00,,,,,128.830,-5.43,-5.26
121,12/02/22 06:00:00,-4.68,-4.769,-4.72,-4.941,,,
122,12/02/22 06:05:00,,,,,128.830,-4.96,-4.87
123,12/02/22 06:30:00,-3.99,-4.340,-4.29,-4.383,,,
124,12/02/22 06:35:00,,,,,128.830,-4.49,-4.29
125,12/02/22 07:00:00,-3.78,-3.954,-3.95,-4.061,,,
126,12/02/22 07:05:00,,,,,128.830,-4.06,-3.95
127,12/02/22 07:30:00,-3.31,-3.225,-3.26,-3.439,,,
128,12/02/22 07:35:00,,,,,128.830,-3.48,-3.20
129,12/02/22 08:00:00,-3.20,-3.139,-3.11,-3.268,,,
130,12/02/22 08:05:00,,,,,128.830,-3.33,-3.16
131,12/02/22 08:30:00,-2.60,-2.517,-2.53,-3.118,,,
132,12/02/22 08:35:00,,,,,128.830,-2.83,-2.53
133,12/02/22 09:00:00,-2.28,-2.131,-2.19,-2.367,,,
134,12/02/22 09:05:00,,,,,128.830,-2.34,-2.10
135,12/02/22 09:30:00,-1.65,-1.573,-1.59,-1.809,,,
136,12/02/22 09:35:00,,,,,128.830,-1.93,-1.57
137,12/02/22 10:00:00,-1.38,-1.316,-1.27,-1.187,,,
138,12/02/22 10:05:00,,,,,128.830,-1.57,-1.29
139,12/02/22 10:30:00,-1.16,-1.102,-1.12,-1.080,,,
140,12/02/22 10:35:00,,,,,128.830,-1.29,-1.05
141,12/02/22 11:00:00,-0.93,-0.930,-0.86,-0.909,,,
142,12/02/22 11:05:00,,,,,128.830,-0.99,-0.86
143,12/02/22 11:30:00,-0.93,-0.887,-0.86,-0.673,,,
144,12/02/22 11:35:00,,,,,128.830,-0.95,-0.73
145,12/02/22 12:00:00,-0.75,-0.823,-0.77,-0.587,,,
146,12/02/22 12:05:00,,,,,128.830,-0.84,-0.62
147,12/02/22 12:30:00,-0.65,-0.651,-0.62,-0.458,,,
148,12/02/22 12:35:00,,,,,128.830,-0.62,-0.58
149,12/02/22 13:00:00,-0.69,-0.694,-0.65,-0.523,,,
150,12/02/22 13:05:00,,,,,128.830,-0.67,-0.65
151,12/02/22 13:30:00,-0.71,-0.716,-0.69,-0.565,,,
152,12/02/22 13:35:00,,,,,128.830,-0.71,-0.62
153,12/02/22 14:00:00,-0.73,-0.758,-0.67,-0.651,,,
154,12/02/22 14:05:00,,,,,128.830,-0.71,-0.71
155,12/02/22 14:30:00,-0.62,-0.694,-0.60,-0.608,,,
156,12/02/22 14:35:00,,,,,128.830,-0.65,-0.62
157,12/02/22 15:00:00,-0.62,-0.673,-0.56,-0.523,,,
158,12/02/22 15:05:00,,,,,128.830,-0.62,-0.58
159,12/02/22 15:30:00,-0.58,-0.630,-0.52,-0.544,,,
160,12/02/22 15:35:00,,,,,128.830,-0.60,-0.56
161,12/02/22 16:00:00,-0.45,-0.523,-0.39,-0.394,,,
162,12/02/22 16:05:00,,,,,128.830,-0.50,-0.41
163,12/02/22 16:30:00,-0.39,-0.523,-0.30,-0.372,,,
164,12/02/22 16:35:00,,,,,128.830,-0.47,-0.37
165,12/02/22 17:00:00,-0.32,-0.437,-0.22,-0.351,,,
166,12/02/22 17:05:00,,,,,128.830,-0.41,-0.32
167,12/02/22 17:30:00,-0.26,-0.372,-0.22,-0.329,,,
168,12/02/22 17:35:00,,,,,128.830,-0.37,-0.28
169,12/02/22 18:00:00,-0.26,-0.372,-0.22,-0.265,,,
170,12/02/22 18:05:00,,,,,128.830,-0.35,-0.28
171,12/02/22 18:30:00,-0.24,-0.329,-0.20,-0.222,,,
172,12/02/22 18:35:00,,,,,128.830,-0.30,-0.20
173,12/02/22 19:00:00,-0.15,-0.265,-0.11,-0.158,,,
174,12/02/22 19:05:00,,,,,128.830,-0.17,-0.13
175,12/02/22 19:30:00,-0.11,-0.222,-0.09,-0.136,,,
176,12/02/22 19:35:00,,,,,128.830,-0.20,-0.09
177,12/02/22 20:00:00,-0.13,-0.201,-0.05,-0.072,,,
178,12/02/22 20:05:00,,,,,128.830,-0.15,0.00
179,12/02/22 20:30:00,-0.05,-0.072,0.06,0.035,,,
180,12/02/22 20:35:00,,,,,128.830,-0.05,0.06
181,12/02/22 21:00:00,0.00,-0.051,0.06,0.057,,,
182,12/02/22 21:05:00,,,,,128.830,-0.02,0.08
183,12/02/22 21:30:00,-0.11,-0.158,-0.05,0.057,,,
184,12/02/22 21:35:00,,,,,128.830,-0.07,0.00
185,12/02/22 22:00:00,-0.26,-0.265,-0.22,-0.051,,,
186,12/02/22 22:05:00,,,,,128.830,-0.24,-0.09
187,12/02/22 22:30:00,-0.22,-0.179,-0.09,-0.029,,,
188,12/02/22 22:35:00,,,,,128.830,-0.17,0.00
189,12/02/22 23:00:00,-0.09,-0.051,0.00,0.121,,,
190,12/02/22 23:05:00,,,,,128.830,-0.07,0.13
191,12/02/22 23:30:00,0.08,0.057,0.15,0.185,,,
192,12/02/22 23:35:00,,,,,128.830,0.04,0.28
193,12/03/22 00:00:00,0.13,0.121,0.13,0.228,,,
194,12/03/22 00:05:00,,,,,128.830,0.10,0.28
195,12/03/22 00:30:00,0.02,-0.008,0.10,0.185,,,
196,12/03/22 00:35:00,,,,,128.830,0.02,0.17
197,12/03/22 01:00:00,-0.09,-0.072,-0.02,0.057,,,
198,12/03/22 01:05:00,,,,,128.830,-0.05,0.15
199,12/03/22 01:30:00,-0.09,-0.072,-0.02,0.035,,,
200,12/03/22 01:35:00,,,,,128.830,-0.13,0.08
201,12/03/22 02:00:00,-0.11,-0.158,-0.09,-0.115,,,
202,12/03/22 02:05:00,,,,,128.830,-0.15,0.02
203,12/03/22 02:30:00,-0.30,-0.287,-0.20,-0.201,,,
204,12/03/22 02:35:00,,,,,128.830,-0.30,-0.11
205,12/03/22 03:00:00,-0.43,-0.458,-0.41,-0.329,,,
206,12/03/22 03:05:00,,,,,128.830,-0.50,-0.24
207,12/03/22 03:30:00,-0.56,-0.523,-0.50,-0.415,,,
208,12/03/22 03:35:00,,,,,128.830,-0.54,-0.28
209,12/03/22 04:00:00,-0.45,-0.501,-0.43,-0.329,,,
210,12/03/22 04:05:00,,,,,128.830,-0.45,-0.17
211,12/03/22 04:30:00,-0.39,-0.458,-0.41,-0.351,,,
212,12/03/22 04:35:00,,,,,128.830,-0.47,-0.13
213,12/03/22 05:00:00,-0.45,-0.544,-0.52,-0.415,,,
214,12/03/22 05:05:00,,,,,128.830,-0.52,-0.20
215,12/03/22 05:30:00,-1.08,-0.994,-0.95,-0.458,,,
216,12/03/22 05:35:00,,,,,128.830,-1.25,-0.41
217,12/03/22 06:00:00,-1.40,-1.402,-1.27,-1.295,,,
218,12/03/22 06:05:00,,,,,128.830,-1.38,-0.60
219,12/03/22 06:30:00,-1.61,-1.531,-1.31,-1.488,,,
220,12/03/22 06:35:00,,,,,128.830,-1.59,-0.60
221,12/03/22 07:00:00,-1.87,-1.874,-1.61,-1.788,,,
222,12/03/22 07:05:00,,,,,128.830,-1.93,-0.77
223,12/03/22 07:30:00,-2.02,-2.024,-1.63,-2.217,,,
224,12/03/22 07:35:00,,,,,128.830,-2.21,-0.77
225,12/03/22 08:00:00,-2.28,-2.324,-1.89,-2.303,,,
226,12/03/22 08:05:00,,,,,128.830,-2.30,-0.99
227,12/03/22 08:30:00,-2.21,-2.324,-1.83,-2.388,,,
228,12/03/22 08:35:00,,,,,128.830,-2.45,-1.50
229,12/03/22 09:00:00,-2.41,-2.582,-1.98,-2.732,,,
230,12/03/22 09:05:00,,,,,128.830,-2.75,-2.08
231,12/03/22 09:30:00,-2.47,-2.710,-2.00,-2.817,,,
232,12/03/22 09:35:00,,,,,128.830,-3.03,-2.28
233,12/03/22 10:00:00,-3.01,-3.075,-2.30,-3.161,,,
234,12/03/22 10:05:00,,,,,128.830,-3.37,-2.71
235,12/03/22 10:30:00,-3.09,-3.311,-2.58,-3.590,,,
236,12/03/22 10:35:00,,,,,128.830,-3.67,-2.90
237,12/03/22 11:00:00,-3.74,-3.804,-2.96,-3.933,,,
238,12/03/22 11:05:00,,,,,128.830,-4.14,-3.37
239,12/03/22 11:30:00,-4.01,-4.362,-3.80,-4.533,,,
240,12/03/22 11:35:00,,,,,128.830,-4.55,-3.67
241,12/03/22 12:00:00,-4.12,-4.426,-3.91,-4.898,,,
242,12/03/22 12:05:00,,,,,128.830,-4.83,-3.80
243,12/03/22 12:30:00,-4.16,-4.490,-4.06,-5.198,,,
244,12/03/22 12:35:00,,,,,128.830,-4.87,-3.99
245,12/03/22 13:00:00,-4.42,-4.662,-4.19,-5.134,,,
246,12/03/22 13:05:00,,,,,128.830,-4.98,-4.14
247,12/03/22 13:30:00,-4.53,-4.919,-4.59,-5.563,,,
248,12/03/22 13:35:00,,,,,128.830,-5.32,-4.64
249,12/03/22 14:00:00,-5.11,-5.370,-5.00,-5.992,,,
250,12/03/22 14:05:00,,,,,128.830,-5.41,-4.55
251,12/03/22 14:30:00,-5.26,-5.627,-5.47,-6.528,,,
252,12/03/22 14:35:00,,,,,128.830,-5.60,-4.44
253,12/03/22 15:00:00,-5.15,-5.541,-5.34,-6.742,,,
254,12/03/22 15:05:00,,,,,128.830,-5.69,-4.91
255,12/03/22 15:30:00,-5.43,-5.627,-5.56,-6.292,,,
256,12/03/22 15:35:00,,,,,128.830,-5.71,-4.42
257,12/03/22 16:00:00,-5.69,-6.035,-5.88,-7.472,,,
258,12/03/22 16:05:00,,,,,128.830,-6.05,-5.09
259,12/03/22 16:30:00,-6.03,-6.335,-6.18,-8.394,,,
260,12/03/22 16:35:00,,,,,128.830,-6.27,-5.60
261,12/03/22 17:00:00,-5.92,-6.228,-6.07,-8.437,,,
262,12/03/22 17:05:00,,,,,128.830,-6.16,-5.34
263,12/03/22 17:30:00,-5.99,-6.228,-6.14,-8.909,,,
264,12/03/22 17:35:00,,,,,128.830,-6.16,-6.01
265,12/03/22 18:00:00,-6.27,-6.592,-6.29,-9.295,,,
266,12/03/22 18:05:00,,,,,128.830,-6.65,-6.52
267,12/03/22 18:30:00,-6.59,-6.807,-6.57,-10.539,,,
268,12/03/22 18:35:00,,,,,128.830,-7.10,-7.19
269,12/03/22 19:00:00,-6.37,-6.828,-6.74,-11.804,,,
270,12/03/22 19:05:00,,,,,128.830,-7.06,-7.10
271,12/03/22 19:30:00,-7.02,-7.171,-7.40,-11.654,,,
272,12/03/22 19:35:00,,,,,128.830,-7.66,-7.45
273,12/03/22 20:00:00,-7.79,-9.016,-8.50,-11.139,,,
274,12/03/22 20:05:00,,,,,128.830,-8.48,-10.06
275,12/03/22 20:30:00,-8.86,-9.123,-9.03,-11.461,,,
276,12/03/22 20:35:00,,,,,128.830,-9.51,-9.96
277,12/03/22 21:00:00,-11.78,-9.917,-9.36,-12.255,,,
278,12/03/22 21:05:00,,,,,128.830,-9.10,-9.46
279,12/03/22 21:30:00,-12.29,-10.989,-9.91,-11.482,,,
280,12/03/22 21:35:00,,,,,128.830,-9.36,-9.57
281,12/03/22 22:00:00,-10.36,-10.324,-10.06,-12.984,,,
282,12/03/22 22:05:00,,,,,128.830,-9.63,-11.84
283,12/03/22 22:30:00,-10.34,-10.453,-10.04,-14.936,,,
284,12/03/22 22:35:00,,,,,128.830,-14.10,-12.98
285,12/03/22 23:00:00,-10.21,-9.831,-9.36,-13.413,,,
286,12/03/22 23:05:00,,,,,128.830,-11.52,-10.56
287,12/03/22 23:30:00,-11.11,-11.590,-10.90,-13.670,,,
288,12/03/22 23:35:00,,,,,128.830,-10.51,-10.84
289,12/04/22 00:00:00,-11.80,-12.340,-12.06,-15.944,,,
290,12/04/22 00:05:00,,,,,128.830,-11.89,-12.32
291,12/04/22 00:30:00,-12.25,-12.555,-12.10,-15.450,,,
292,12/04/22 00:35:00,,,,,128.830,-11.35,-12.64
293,12/04/22 01:00:00,-12.59,-12.919,-12.72,-16.373,,,
294,12/04/22 01:05:00,,,,,128.830,-12.59,-13.39
295,12/04/22 01:30:00,-12.68,-12.898,-12.77,-16.179,,,
296,12/04/22 01:35:00,,,,,128.830,-12.85,-13.49
297,12/04/22 02:00:00,-12.34,-12.791,-12.66,-17.381,,,
298,12/04/22 02:05:00,,,,,128.830,-12.29,-14.16
299,12/04/22 02:30:00,-12.94,-13.584,-13.30,-17.037,,,
300,12/04/22 02:35:00,,,,,128.830,-13.88,-14.52
301,12/04/22 03:00:00,-13.62,-14.120,-13.97,-15.836,,,
302,12/04/22 03:05:00,,,,,128.830,-14.14,-15.23
303,12/04/22 03:30:00,-13.77,-14.228,-14.01,-16.973,,,
304,12/04/22 03:35:00,,,,,128.830,-14.50,-15.30
305,12/04/22 04:00:00,-13.52,-13.413,-13.30,-17.381,,,
306,12/04/22 04:05:00,,,,,128.830,-15.21,-15.79
307,12/04/22 04:30:00,-13.99,-14.507,-14.27,-17.981,,,
308,12/04/22 04:35:00,,,,,128.830,-15.85,-16.43
309,12/04/22 05:00:00,-14.67,-15.107,-14.91,-17.810,,,
310,12/04/22 05:05:00,,,,,128.830,-15.81,-16.43
311,12/04/22 05:30:00,-14.46,-14.742,-14.55,-16.501,,,
312,12/04/22 05:35:00,,,,,128.830,-15.17,-15.73
313,12/04/22 06:00:00,-14.55,-14.742,-14.52,-15.643,,,
314,12/04/22 06:05:00,,,,,128.830,-14.78,-15.04
315,12/04/22 06:30:00,-13.69,-13.713,-13.65,-14.592,,,
316,12/04/22 06:35:00,,,,,128.830,-13.73,-14.10
317,12/04/22 07:00:00,-12.96,-13.027,-12.94,-13.434,,,
318,12/04/22 07:05:00,,,,,128.830,-12.77,-12.87
319,12/04/22 07:30:00,-12.38,-12.448,-12.36,-12.962,,,
320,12/04/22 07:35:00,,,,,128.830,-12.27,-12.47
321,12/04/22 08:00:00,-12.23,-12.276,-12.12,-12.576,,,
322,12/04/22 08:05:00,,,,,128.830,-12.08,-12.23
323,12/04/22 08:30:00,-11.65,-11.633,-11.50,-11.633,,,
324,12/04/22 08:35:00,,,,,128.830,-11.35,-11.50
325,12/04/22 09:00:00,-11.22,-11.225,-11.18,-11.182,,,
326,12/04/22 09:05:00,,,,,128.830,-10.90,-11.05
327,12/04/22 09:30:00,-10.79,-10.710,-10.68,-10.839,,,
328,12/04/22 09:35:00,,,,,128.830,-10.56,-10.71
329,12/04/22 10:00:00,-10.34,-10.346,-10.28,-10.624,,,
330,12/04/22 10:05:00,,,,,128.830,-10.36,-10.53
331,12/04/22 10:30:00,-10.43,-10.367,-10.36,-10.260,,,
332,12/04/22 10:35:00,,,,,128.830,-10.11,-10.21
333,12/04/22 11:00:00,-10.00,-9.960,-9.93,-10.067,,,
334,12/04/22 11:05:00,,,,,128.830,-9.78,-9.87
335,12/04/22 11:30:00,-9.78,-9.809,-9.78,-9.852,,,
336,12/04/22 11:35:00,,,,,128.830,-9.55,-9.74
337,12/04/22 12:00:00,-9.57,-9.616,-9.57,-9.552,,,
338,12/04/22 12:05:00,,,,,128.830,-9.38,-9.53
339,12/04/22 12:30:00,-9.63,-9.745,-9.74,-9.938,,,
340,12/04/22 12:35:00,,,,,128.830,-9.72,-9.89
341,12/04/22 13:00:00,-9.72,-9.745,-9.76,-9.831,,,
342,12/04/22 13:05:00,,,,,128.830,-9.68,-9.76
343,12/04/22 13:30:00,-9.70,-9.681,-9.72,-9.788,,,
344,12/04/22 13:35:00,,,,,128.830,-9.74,-9.78
345,12/04/22 14:00:00,-9.61,-9.724,-9.74,-9.638,,,
346,12/04/22 14:05:00,,,,,128.830,-9.53,-9.68
347,12/04/22 14:30:00,-9.51,-9.466,-9.51,-9.616,,,
348,12/04/22 14:35:00,,,,,128.830,-9.42,-9.57
349,12/04/22 15:00:00,-9.31,-9.316,-9.31,-9.509,,,
350,12/04/22 15:05:00,,,,,128.830,-9.38,-9.46
351,12/04/22 15:30:00,-9.18,-9.145,-9.16,-9.252,,,
352,12/04/22 15:35:00,,,,,128.830,-9.03,-9.16
353,12/04/22 16:00:00,-8.73,-8.673,-8.67,-8.716,,,
354,12/04/22 16:05:00,,,,,128.830,-8.50,-8.60
355,12/04/22 16:30:00,-8.28,-8.222,-8.30,-8.415,,,
356,12/04/22 16:35:00,,,,,128.830,-8.26,-8.41
357,12/04/22 17:00:00,-8.00,-7.986,-8.03,-8.137,,,
358,12/04/22 17:05:00,,,,,128.830,-8.00,-8.07
359,12/04/22 17:30:00,-7.77,-7.708,-7.75,-7.858,,,
360,12/04/22 17:35:00,,,,,128.830,-7.85,-7.92
361,12/04/22 18:00:00,-7.47,-7.407,-7.45,-7.536,,,
362,12/04/22 18:05:00,,,,,128.830,-7.53,-7.60
363,12/04/22 18:30:00,-7.51,-7.472,-7.55,-7.622,,,
364,12/04/22 18:35:00,,,,,128.830,-7.49,-7.60
365,12/04/22 19:00:00,-7.10,-7.064,-7.12,-7.150,,,
366,12/04/22 19:05:00,,,,,128.830,-7.10,-7.21
367,12/04/22 19:30:00,-6.78,-6.742,-6.82,-6.893,,,
368,12/04/22 19:35:00,,,,,128.830,-6.80,-6.89
369,12/04/22 20:00:00,-6.61,-6.506,-6.57,-6.850,,,
370,12/04/22 20:05:00,,,,,128.830,-6.74,-6.89
371,12/04/22 20:30:00,-6.48,-6.399,-6.50,-6.614,,,
372,12/04/22 20:35:00,,,,,128.830,-6.55,-6.70
373,12/04/22 21:00:00,-6.35,-6.271,-6.35,-6.764,,,
374,12/04/22 21:05:00,,,,,128.830,-6.52,-6.74
375,12/04/22 21:30:00,-6.31,-6.335,-6.35,-6.614,,,
376,12/04/22 21:35:00,,,,,128.830,-6.46,-6.59
377,12/04/22 22:00:00,-6.37,-6.421,-6.50,-6.764,,,
378,12/04/22 22:05:00,,,,,128.830,-6.57,-6.72
379,12/04/22 22:30:00,-6.72,-6.700,-6.70,-7.107,,,
380,12/04/22 22:35:00,,,,,128.830,-6.89,-7.00
381,12/04/22 23:00:00,-6.78,-6.807,-6.80,-7.064,,,
382,12/04/22 23:05:00,,,,,128.830,-6.80,-6.93
383,12/04/22 23:30:00,-6.65,-6.678,-6.65,-6.785,,,
384,12/04/22 23:35:00,,,,,128.830,-6.57,-6.76
385,12/05/22 00:00:00,-6.27,-6.292,-6.31,-6.356,,,
386,12/05/22 00:05:00,,,,,128.830,-6.24,-6.42
387,12/05/22 00:30:00,-6.27,-6.228,-6.27,-6.506,,,
388,12/05/22 00:35:00,,,,,128.830,-6.35,-6.52
389,12/05/22 01:00:00,-6.31,-6.313,-6.27,-6.464,,,
390,12/05/22 01:05:00,,,,,128.830,-6.37,-6.50
391,12/05/22 01:30:00,-6.24,-6.271,-6.27,-6.335,,,
392,12/05/22 01:35:00,,,,,128.830,-6.22,-6.35
393,12/05/22 02:00:00,-6.24,-6.249,-6.27,-6.356,,,
394,12/05/22 02:05:00,,,,,128.830,-6.07,-6.27
395,12/05/22 02:30:00,-6.24,-6.249,-6.27,-6.078,,,
396,12/05/22 02:35:00,,,,,128.830,-5.94,-6.16
397,12/05/22 03:00:00,-6.31,-6.271,-6.33,-6.378,,,
398,12/05/22 03:05:00,,,,,128.830,-6.24,-6.35
399,12/05/22 03:30:00,-6.63,-6.700,-6.65,-6.700,,,
