Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1_TNHA","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398619-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (RXW-LIB 21401801:21398622-1), W/m^2, RX3000_BRW4_SSMH","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6_BEO"
2727,08/20/24 20:40:00,,,,,,,,,,298
2728,08/20/24 21:00:00,444,211,,229,194,137,489,257,293,
2729,08/20/24 21:40:00,,,,,,,,,,346
2730,08/20/24 22:00:00,157,261,,277,294,166,224,198,353,
2731,08/20/24 22:40:00,,,,,,,,,,298
2732,08/20/24 23:00:00,244,133,,282,324,277,161,163,388,
2733,08/20/24 23:40:00,,,,,,,,,,369
2734,08/21/24 00:00:00,143,107,,286,344,277,147,191,359,
2735,08/21/24 00:40:00,,,,,,,,,,259
2736,08/21/24 01:00:00,139,108,,219,191,144,124,144,196,
2737,08/21/24 01:40:00,,,,,,,,,,169
2738,08/21/24 02:00:00,147,84,,167,118,119,114,123,157,
2739,08/21/24 02:40:00,,,,,,,,,,123
2740,08/21/24 03:00:00,126,61,,116,71,86,79,89,108,
2741,08/21/24 03:40:00,,,,,,,,,,62
2742,08/21/24 04:00:00,24,33,,61,36,43,31,48,57,
2743,08/21/24 04:40:00,,,,,,,,,,34
2744,08/21/24 05:00:00,26,14,,23,12,17,22,21,23,
2745,08/21/24 05:40:00,,,,,,,,,,16
2746,08/21/24 06:00:00,7,12,,22,11,14,4,18,19,
2747,08/21/24 06:40:00,,,,,,,,,,7
2748,08/21/24 07:00:00,1,1,,2,1,1,1,2,2,
2749,08/21/24 07:40:00,,,,,,,,,,1
2750,08/21/24 08:00:00,1,1,,1,1,1,1,1,1,
2751,08/21/24 08:40:00,,,,,,,,,,1
2752,08/21/24 09:00:00,1,1,,1,1,1,1,1,1,
2753,08/21/24 09:40:00,,,,,,,,,,1
2754,08/21/24 10:00:00,1,1,,1,1,1,1,1,1,
2755,08/21/24 10:40:00,,,,,,,,,,1
2756,08/21/24 11:00:00,1,1,,1,1,1,1,1,1,
2757,08/21/24 11:40:00,,,,,,,,,,1
2758,08/21/24 12:00:00,1,1,,1,1,1,1,1,1,
2759,08/21/24 12:40:00,,,,,,,,,,1
2760,08/21/24 13:00:00,1,1,,1,1,1,1,1,1,
2761,08/21/24 13:40:00,,,,,,,,,,1
2762,08/21/24 14:00:00,1,1,,1,1,1,1,1,1,
2763,08/21/24 14:40:00,,,,,,,,,,4
2764,08/21/24 15:00:00,6,1,,2,1,1,4,2,2,
2765,08/21/24 15:40:00,,,,,,,,,,42
2766,08/21/24 16:00:00,47,18,,26,14,16,52,22,26,
2767,08/21/24 16:40:00,,,,,,,,,,73
2768,08/21/24 17:00:00,47,34,,53,27,33,47,47,49,
2769,08/21/24 17:40:00,,,,,,,,,,53
2770,08/21/24 18:00:00,44,26,,43,23,29,42,37,41,
2771,08/21/24 18:40:00,,,,,,,,,,42
2772,08/21/24 19:00:00,28,22,,39,21,27,27,33,37,
2773,08/21/24 19:40:00,,,,,,,,,,59
2774,08/21/24 20:00:00,38,26,,43,24,29,34,37,42,
2775,08/21/24 20:40:00,,,,,,,,,,99
2776,08/21/24 21:00:00,59,41,,66,37,46,56,57,66,
2777,08/21/24 21:40:00,,,,,,,,,,106
2778,08/21/24 22:00:00,97,53,,91,49,63,89,76,86,
2779,08/21/24 22:40:00,,,,,,,,,,128
2780,08/21/24 23:00:00,116,62,,103,59,69,103,86,98,
2781,08/21/24 23:40:00,,,,,,,,,,178
2782,08/22/24 00:00:00,181,82,,142,87,96,141,111,131,
2783,08/22/24 00:40:00,,,,,,,,,,122
2784,08/22/24 01:00:00,83,71,,123,74,88,81,99,117,
2785,08/22/24 01:40:00,,,,,,,,,,166
2786,08/22/24 02:00:00,101,52,,89,52,61,79,72,83,
2787,08/22/24 02:40:00,,,,,,,,,,78
2788,08/22/24 03:00:00,51,48,,84,49,61,48,67,78,
2789,08/22/24 03:40:00,,,,,,,,,,89
2790,08/22/24 04:00:00,68,31,,56,34,36,52,42,52,
2791,08/22/24 04:40:00,,,,,,,,,,46
2792,08/22/24 05:00:00,27,23,,51,27,37,23,38,43,
2793,08/22/24 05:40:00,,,,,,,,,,26
2794,08/22/24 06:00:00,18,12,,28,14,19,14,19,23,
2795,08/22/24 06:40:00,,,,,,,,,,4
2796,08/22/24 07:00:00,1,4,,8,4,6,1,7,8,
2797,08/22/24 07:40:00,,,,,,,,,,1
2798,08/22/24 08:00:00,1,1,,1,1,1,1,1,1,
2799,08/22/24 08:40:00,,,,,,,,,,1
2800,08/22/24 09:00:00,1,1,,1,1,1,1,1,1,
2801,08/22/24 09:40:00,,,,,,,,,,1
2802,08/22/24 10:00:00,1,1,,1,1,1,1,1,1,
2803,08/22/24 10:40:00,,,,,,,,,,1
2804,08/22/24 11:00:00,1,1,,1,1,1,1,1,1,
2805,08/22/24 11:40:00,,,,,,,,,,1
2806,08/22/24 12:00:00,1,1,,1,1,1,1,1,1,
2807,08/22/24 12:40:00,,,,,,,,,,1
2808,08/22/24 13:00:00,1,1,,1,1,1,1,1,1,
2809,08/22/24 13:40:00,,,,,,,,,,1
2810,08/22/24 14:00:00,2,1,,1,1,1,2,1,1,
2811,08/22/24 14:40:00,,,,,,,,,,14
2812,08/22/24 15:00:00,22,6,,8,3,4,22,8,8,
2813,08/22/24 15:40:00,,,,,,,,,,121
2814,08/22/24 16:00:00,84,51,,54,31,33,91,56,62,
2815,08/22/24 16:40:00,,,,,,,,,,148
2816,08/22/24 17:00:00,81,91,,87,46,51,87,107,109,
2817,08/22/24 17:40:00,,,,,,,,,,163
2818,08/22/24 18:00:00,136,107,,96,49,51,124,108,109,
2819,08/22/24 18:40:00,,,,,,,,,,157
2820,08/22/24 19:00:00,158,113,,103,64,56,161,113,121,
2821,08/22/24 19:40:00,,,,,,,,,,131
2822,08/22/24 20:00:00,124,86,,118,72,74,128,107,117,
2823,08/22/24 20:40:00,,,,,,,,,,367
2824,08/22/24 21:00:00,133,132,,187,116,126,128,173,197,
2825,08/22/24 21:40:00,,,,,,,,,,192
2826,08/22/24 22:00:00,86,67,,108,61,72,69,93,103,
2827,08/22/24 22:40:00,,,,,,,,,,153
2828,08/22/24 23:00:00,98,59,,98,56,72,97,93,102,
2829,08/22/24 23:40:00,,,,,,,,,,156
2830,08/23/24 00:00:00,114,66,,108,63,82,144,102,114,
2831,08/23/24 00:40:00,,,,,,,,,,167
2832,08/23/24 01:00:00,148,78,,131,79,99,132,117,136,
2833,08/23/24 01:40:00,,,,,,,,,,174
2834,08/23/24 02:00:00,83,68,,118,74,89,67,103,123,
2835,08/23/24 02:40:00,,,,,,,,,,104
2836,08/23/24 03:00:00,56,42,,72,42,51,54,61,69,
2837,08/23/24 03:40:00,,,,,,,,,,88
2838,08/23/24 04:00:00,73,33,,63,36,48,53,51,61,
2839,08/23/24 04:40:00,,,,,,,,,,54
2840,08/23/24 05:00:00,22,29,,52,31,38,22,42,51,
2841,08/23/24 05:40:00,,,,,,,,,,24
2842,08/23/24 06:00:00,16,9,,17,8,12,16,17,17,
2843,08/23/24 06:40:00,,,,,,,,,,14
2844,08/23/24 07:00:00,4,6,,12,4,8,4,12,12,
2845,08/23/24 07:40:00,,,,,,,,,,1
2846,08/23/24 08:00:00,1,1,,1,1,1,1,1,1,
2847,08/23/24 08:40:00,,,,,,,,,,1
2848,08/23/24 09:00:00,1,1,,1,1,1,1,1,1,
2849,08/23/24 09:40:00,,,,,,,,,,1
2850,08/23/24 10:00:00,1,1,,1,1,1,1,1,1,
2851,08/23/24 10:40:00,,,,,,,,,,1
2852,08/23/24 11:00:00,1,1,,1,1,1,1,1,1,
2853,08/23/24 11:40:00,,,,,,,,,,1
2854,08/23/24 12:00:00,1,1,,1,1,1,1,1,1,
2855,08/23/24 12:40:00,,,,,,,,,,1
2856,08/23/24 13:00:00,1,1,,1,1,1,1,1,1,
2857,08/23/24 13:40:00,,,,,,,,,,1
2858,08/23/24 14:00:00,1,1,,1,1,1,1,1,1,
2859,08/23/24 14:40:00,,,,,,,,,,3
2860,08/23/24 15:00:00,6,1,,2,1,1,4,2,2,
2861,08/23/24 15:40:00,,,,,,,,,,21
2862,08/23/24 16:00:00,14,6,,12,6,7,13,9,12,
2863,08/23/24 16:40:00,,,,,,,,,,31
2864,08/23/24 17:00:00,27,12,,21,11,14,24,18,22,
2865,08/23/24 17:40:00,,,,,,,,,,64
2866,08/23/24 18:00:00,77,32,,52,28,36,64,44,49,
2867,08/23/24 18:40:00,,,,,,,,,,101
2868,08/23/24 19:00:00,123,59,,89,51,59,129,79,88,
2869,08/23/24 19:40:00,,,,,,,,,,123
2870,08/23/24 20:00:00,131,92,,114,74,72,136,109,128,
2871,08/23/24 20:40:00,,,,,,,,,,303
2872,08/23/24 21:00:00,156,157,,184,142,118,168,176,206,
2873,08/23/24 21:40:00,,,,,,,,,,174
2874,08/23/24 22:00:00,167,112,,173,109,122,162,149,172,
2875,08/23/24 22:40:00,,,,,,,,,,227
2876,08/23/24 23:00:00,171,112,,179,108,128,161,153,177,
2877,08/23/24 23:40:00,,,,,,,,,,188
2878,08/24/24 00:00:00,73,87,,144,84,103,68,124,142,
2879,08/24/24 00:40:00,,,,,,,,,,108
2880,08/24/24 01:00:00,54,43,,73,39,54,68,68,76,
2881,08/24/24 01:40:00,,,,,,,,,,62
2882,08/24/24 02:00:00,52,34,,57,32,42,58,53,58,
2883,08/24/24 02:40:00,,,,,,,,,,46
2884,08/24/24 03:00:00,38,24,,42,22,29,26,38,42,
2885,08/24/24 03:40:00,,,,,,,,,,42
2886,08/24/24 04:00:00,52,28,,49,26,34,34,43,47,
2887,08/24/24 04:40:00,,,,,,,,,,48
2888,08/24/24 05:00:00,31,19,,37,21,27,23,32,36,
2889,08/24/24 05:40:00,,,,,,,,,,13
2890,08/24/24 06:00:00,4,8,,16,8,12,6,14,16,
2891,08/24/24 06:40:00,,,,,,,,,,2
2892,08/24/24 07:00:00,1,1,,1,1,1,1,1,2,
2893,08/24/24 07:40:00,,,,,,,,,,1
2894,08/24/24 08:00:00,1,1,,1,1,1,1,1,1,
2895,08/24/24 08:40:00,,,,,,,,,,1
2896,08/24/24 09:00:00,1,1,,1,1,1,1,1,1,
2897,08/24/24 09:40:00,,,,,,,,,,1
2898,08/24/24 10:00:00,1,1,,1,1,1,1,1,1,
2899,08/24/24 10:40:00,,,,,,,,,,1
2900,08/24/24 11:00:00,1,1,,1,1,1,1,1,1,
2901,08/24/24 11:40:00,,,,,,,,,,1
2902,08/24/24 12:00:00,1,1,,1,1,1,1,1,1,
2903,08/24/24 12:40:00,,,,,,,,,,1
2904,08/24/24 13:00:00,1,1,,1,1,1,1,1,1,
2905,08/24/24 13:40:00,,,,,,,,,,1
2906,08/24/24 14:00:00,1,1,,1,1,1,1,1,1,
2907,08/24/24 14:40:00,,,,,,,,,,11
2908,08/24/24 15:00:00,3,2,,3,1,2,3,3,4,
2909,08/24/24 15:40:00,,,,,,,,,,29
2910,08/24/24 16:00:00,16,7,,12,6,9,14,12,13,
2911,08/24/24 16:40:00,,,,,,,,,,47
2912,08/24/24 17:00:00,53,19,,32,17,23,53,29,33,
2913,08/24/24 17:40:00,,,,,,,,,,67
2914,08/24/24 18:00:00,46,32,,51,28,33,47,43,48,
2915,08/24/24 18:40:00,,,,,,,,,,136
2916,08/24/24 19:00:00,73,56,,89,49,63,63,81,89,
2917,08/24/24 19:40:00,,,,,,,,,,117
2918,08/24/24 20:00:00,74,44,,73,41,49,62,61,68,
2919,08/24/24 20:40:00,,,,,,,,,,134
2920,08/24/24 21:00:00,48,49,,83,46,59,48,72,81,
2921,08/24/24 21:40:00,,,,,,,,,,91
2922,08/24/24 22:00:00,92,57,,94,53,71,107,87,97,
2923,08/24/24 22:40:00,,,,,,,,,,123
2924,08/24/24 23:00:00,109,64,,108,59,77,93,96,107,
2925,08/24/24 23:40:00,,,,,,,,,,141
2926,08/25/24 00:00:00,83,59,,101,57,63,77,79,87,
2927,08/25/24 00:40:00,,,,,,,,,,169
2928,08/25/24 01:00:00,61,61,,102,57,67,69,84,93,
2929,08/25/24 01:40:00,,,,,,,,,,112
2930,08/25/24 02:00:00,96,52,,89,49,64,67,78,88,
2931,08/25/24 02:40:00,,,,,,,,,,77
2932,08/25/24 03:00:00,32,44,,73,39,54,37,66,74,
2933,08/25/24 03:40:00,,,,,,,,,,24
2934,08/25/24 04:00:00,17,14,,23,12,18,12,23,26,
2935,08/25/24 04:40:00,,,,,,,,,,9
2936,08/25/24 05:00:00,9,8,,14,7,9,9,12,13,
2937,08/25/24 05:40:00,,,,,,,,,,11
2938,08/25/24 06:00:00,4,3,,7,3,4,3,6,7,
2939,08/25/24 06:40:00,,,,,,,,,,1
2940,08/25/24 07:00:00,1,1,,1,1,1,1,1,1,
2941,08/25/24 07:40:00,,,,,,,,,,1
2942,08/25/24 08:00:00,1,1,,1,1,1,1,1,1,
2943,08/25/24 08:40:00,,,,,,,,,,1
2944,08/25/24 09:00:00,1,1,,1,1,1,1,1,1,
2945,08/25/24 09:40:00,,,,,,,,,,1
2946,08/25/24 10:00:00,1,1,,1,1,1,1,1,1,
2947,08/25/24 10:40:00,,,,,,,,,,1
2948,08/25/24 11:00:00,1,1,,1,1,1,1,1,1,
2949,08/25/24 11:40:00,,,,,,,,,,1
2950,08/25/24 12:00:00,1,1,,1,1,1,1,1,1,
2951,08/25/24 12:40:00,,,,,,,,,,1
2952,08/25/24 13:00:00,1,1,,1,1,1,1,1,1,
2953,08/25/24 13:40:00,,,,,,,,,,1
2954,08/25/24 14:00:00,1,1,,1,1,1,1,1,1,
2955,08/25/24 14:40:00,,,,,,,,,,8
2956,08/25/24 15:00:00,7,2,,3,1,2,7,3,4,
2957,08/25/24 15:40:00,,,,,,,,,,24
2958,08/25/24 16:00:00,19,8,,14,7,9,22,13,14,
2959,08/25/24 16:40:00,,,,,,,,,,43
2960,08/25/24 17:00:00,37,18,,28,17,19,29,26,29,
2961,08/25/24 17:40:00,,,,,,,,,,74
2962,08/25/24 18:00:00,61,34,,52,31,33,54,44,49,
2963,08/25/24 18:40:00,,,,,,,,,,99
2964,08/25/24 19:00:00,73,48,,73,43,51,83,66,72,
2965,08/25/24 19:40:00,,,,,,,,,,139
2966,08/25/24 20:00:00,138,66,,101,59,74,114,94,104,
2967,08/25/24 20:40:00,,,,,,,,,,202
2968,08/25/24 21:00:00,167,98,,139,88,101,161,132,151,
2969,08/25/24 21:40:00,,,,,,,,,,227
2970,08/25/24 22:00:00,186,129,,176,134,127,182,153,193,
2971,08/25/24 22:40:00,,,,,,,,,,304
2972,08/25/24 23:00:00,249,132,,248,309,223,161,152,328,
2973,08/25/24 23:40:00,,,,,,,,,,283
2974,08/26/24 00:00:00,257,89,,244,361,223,127,132,316,
2975,08/26/24 00:40:00,,,,,,,,,,316
2976,08/26/24 01:00:00,159,58,,217,312,211,72,144,272,
2977,08/26/24 01:40:00,,,,,,,,,,202
2978,08/26/24 02:00:00,151,49,,173,203,152,81,86,186,
2979,08/26/24 02:40:00,,,,,,,,,,154
2980,08/26/24 03:00:00,58,42,,183,191,178,43,63,177,
2981,08/26/24 03:40:00,,,,,,,,,,187
2982,08/26/24 04:00:00,33,19,,214,199,224,18,66,51,
2983,08/26/24 04:40:00,,,,,,,,,,96
2984,08/26/24 05:00:00,18,14,,154,43,142,13,76,29,
2985,08/26/24 05:40:00,,,,,,,,,,18
2986,08/26/24 06:00:00,7,8,,59,12,53,6,36,13,
2987,08/26/24 06:40:00,,,,,,,,,,3
2988,08/26/24 07:00:00,1,2,,8,2,4,1,4,3,
2989,08/26/24 07:40:00,,,,,,,,,,1
2990,08/26/24 08:00:00,1,1,,1,1,1,1,1,1,
2991,08/26/24 08:40:00,,,,,,,,,,1
2992,08/26/24 09:00:00,1,1,,1,1,1,1,1,1,
2993,08/26/24 09:40:00,,,,,,,,,,1
2994,08/26/24 10:00:00,1,1,,1,1,1,1,1,1,
2995,08/26/24 10:40:00,,,,,,,,,,1
2996,08/26/24 11:00:00,1,1,,1,1,1,1,1,1,
2997,08/26/24 11:40:00,,,,,,,,,,1
2998,08/26/24 12:00:00,1,1,,1,1,1,1,1,1,
2999,08/26/24 12:40:00,,,,,,,,,,1
3000,08/26/24 13:00:00,1,1,,1,1,1,1,1,1,
3001,08/26/24 13:40:00,,,,,,,,,,1
3002,08/26/24 14:00:00,1,1,,1,1,1,1,1,1,
3003,08/26/24 14:40:00,,,,,,,,,,12
3004,08/26/24 15:00:00,17,4,,6,2,3,17,7,6,
3005,08/26/24 15:40:00,,,,,,,,,,52
3006,08/26/24 16:00:00,41,28,,29,13,17,48,34,32,
3007,08/26/24 16:40:00,,,,,,,,,,147
3008,08/26/24 17:00:00,142,108,,44,21,22,182,98,93,
3009,08/26/24 17:40:00,,,,,,,,,,251
3010,08/26/24 18:00:00,274,294,,56,33,27,418,224,238,
3011,08/26/24 18:40:00,,,,,,,,,,328
3012,08/26/24 19:00:00,314,358,,154,49,32,509,274,302,
3013,08/26/24 19:40:00,,,,,,,,,,377
3014,08/26/24 20:00:00,247,364,,248,177,61,313,294,339,
3015,08/26/24 20:40:00,,,,,,,,,,336
3016,08/26/24 21:00:00,311,293,,227,278,78,411,243,302,
3017,08/26/24 21:40:00,,,,,,,,,,446
3018,08/26/24 22:00:00,218,367,,312,422,118,468,173,416,
3019,08/26/24 22:40:00,,,,,,,,,,381
3020,08/26/24 23:00:00,311,136,,239,307,194,179,136,301,
3021,08/26/24 23:40:00,,,,,,,,,,358
3022,08/27/24 00:00:00,267,92,,253,343,236,122,159,318,
3023,08/27/24 00:40:00,,,,,,,,,,442
3024,08/27/24 01:00:00,296,59,,286,414,284,61,228,333,
3025,08/27/24 01:40:00,,,,,,,,,,329
3026,08/27/24 02:00:00,266,46,,261,383,143,61,124,301,
3027,08/27/24 02:40:00,,,,,,,,,,221
3028,08/27/24 03:00:00,64,31,,196,226,183,34,57,197,
3029,08/27/24 03:40:00,,,,,,,,,,101
3030,08/27/24 04:00:00,68,27,,108,82,98,43,56,71,
3031,08/27/24 04:40:00,,,,,,,,,,46
3032,08/27/24 05:00:00,29,21,,59,32,48,22,39,41,
3033,08/27/24 05:40:00,,,,,,,,,,26
3034,08/27/24 06:00:00,11,9,,26,12,18,8,19,19,
3035,08/27/24 06:40:00,,,,,,,,,,2
3036,08/27/24 07:00:00,1,1,,4,2,2,1,3,3,
3037,08/27/24 07:40:00,,,,,,,,,,1
3038,08/27/24 08:00:00,1,1,,1,1,1,1,1,1,
3039,08/27/24 08:40:00,,,,,,,,,,1
3040,08/27/24 09:00:00,1,1,,1,1,1,1,1,1,
3041,08/27/24 09:40:00,,,,,,,,,,1
3042,08/27/24 10:00:00,1,1,,1,1,1,1,1,1,
3043,08/27/24 10:40:00,,,,,,,,,,1
3044,08/27/24 11:00:00,1,1,,1,1,1,1,1,1,
3045,08/27/24 11:40:00,,,,,,,,,,1
3046,08/27/24 12:00:00,1,1,,1,1,1,1,1,1,
3047,08/27/24 12:40:00,,,,,,,,,,1
3048,08/27/24 13:00:00,1,1,,1,1,1,1,1,1,
3049,08/27/24 13:40:00,,,,,,,,,,1
3050,08/27/24 14:00:00,1,1,,1,1,1,1,1,1,
3051,08/27/24 14:40:00,,,,,,,,,,8
3052,08/27/24 15:00:00,11,2,,3,1,2,12,3,4,
3053,08/27/24 15:40:00,,,,,,,,,,34
3054,08/27/24 16:00:00,41,21,,23,11,12,46,26,26,
3055,08/27/24 16:40:00,,,,,,,,,,99
3056,08/27/24 17:00:00,92,68,,53,26,27,106,74,74,
3057,08/27/24 17:40:00,,,,,,,,,,139
3058,08/27/24 18:00:00,114,81,,56,32,27,182,83,88,
3059,08/27/24 18:40:00,,,,,,,,,,237
3060,08/27/24 19:00:00,143,132,,103,69,47,194,149,156,
3061,08/27/24 19:40:00,,,,,,,,,,229
3062,08/27/24 20:00:00,209,207,,171,142,74,239,226,267,
3063,08/27/24 20:40:00,,,,,,,,,,358
3064,08/27/24 21:00:00,303,212,,207,194,108,179,213,281,
3065,08/27/24 21:40:00,,,,,,,,,,336
3066,08/27/24 22:00:00,116,386,,308,453,97,634,153,413,
3067,08/27/24 22:40:00,,,,,,,,,,517
3068,08/27/24 23:00:00,459,92,,358,629,352,67,66,519,
3069,08/27/24 23:40:00,,,,,,,,,,492
3070,08/28/24 00:00:00,427,24,,347,627,417,37,204,489,
3071,08/28/24 00:40:00,,,,,,,,,,436
3072,08/28/24 01:00:00,512,19,,332,593,388,27,277,419,
3073,08/28/24 01:40:00,,,,,,,,,,358
3074,08/28/24 02:00:00,297,17,,297,513,94,21,133,366,
3075,08/28/24 02:40:00,,,,,,,,,,268
3076,08/28/24 03:00:00,23,16,,252,331,256,17,24,271,
3077,08/28/24 03:40:00,,,,,,,,,,172
3078,08/28/24 04:00:00,19,13,,199,182,212,16,56,36,
3079,08/28/24 04:40:00,,,,,,,,,,79
3080,08/28/24 05:00:00,14,11,,138,29,128,12,68,18,
3081,08/28/24 05:40:00,,,,,,,,,,14
3082,08/28/24 06:00:00,4,6,,49,8,44,4,29,9,
3083,08/28/24 06:40:00,,,,,,,,,,2
3084,08/28/24 07:00:00,1,1,,2,1,2,1,2,2,
3085,08/28/24 07:40:00,,,,,,,,,,1
3086,08/28/24 08:00:00,1,1,,1,1,1,1,1,1,
3087,08/28/24 08:40:00,,,,,,,,,,1
3088,08/28/24 09:00:00,1,1,,1,1,1,1,1,1,
3089,08/28/24 09:40:00,,,,,,,,,,1
3090,08/28/24 10:00:00,1,1,,1,1,1,1,1,1,
3091,08/28/24 10:40:00,,,,,,,,,,1
3092,08/28/24 11:00:00,1,1,,1,1,1,1,1,1,
3093,08/28/24 11:40:00,,,,,,,,,,1
3094,08/28/24 12:00:00,1,1,,1,1,1,1,1,1,
3095,08/28/24 12:40:00,,,,,,,,,,1
3096,08/28/24 13:00:00,1,1,,1,1,1,1,1,1,
3097,08/28/24 13:40:00,,,,,,,,,,1
3098,08/28/24 14:00:00,2,1,,1,1,1,3,1,1,
3099,08/28/24 14:40:00,,,,,,,,,,11
3100,08/28/24 15:00:00,17,18,,6,2,3,32,12,8,
3101,08/28/24 15:40:00,,,,,,,,,,36
3102,08/28/24 16:00:00,14,14,,13,6,8,12,17,16,
3103,08/28/24 16:40:00,,,,,,,,,,56
3104,08/28/24 17:00:00,53,26,,41,23,29,51,36,41,
3105,08/28/24 17:40:00,,,,,,,,,,48
3106,08/28/24 18:00:00,43,32,,48,28,34,43,44,49,
3107,08/28/24 18:40:00,,,,,,,,,,84
3108,08/28/24 19:00:00,78,46,,73,43,52,74,64,73,
3109,08/28/24 19:40:00,,,,,,,,,,112
3110,08/28/24 20:00:00,116,53,,83,49,61,106,74,84,
3111,08/28/24 20:40:00,,,,,,,,,,171
3112,08/28/24 21:00:00,151,86,,133,79,96,154,122,133,
3113,08/28/24 21:40:00,,,,,,,,,,182
3114,08/28/24 22:00:00,116,86,,132,79,98,122,127,139,
3115,08/28/24 22:40:00,,,,,,,,,,111
3116,08/28/24 23:00:00,68,56,,88,51,66,72,1,92,
3117,08/28/24 23:40:00,,,,,,,,,,68
3118,08/29/24 00:00:00,43,32,,53,29,39,44,49,54,
3119,08/29/24 00:40:00,,,,,,,,,,44
3120,08/29/24 01:00:00,59,22,,37,21,27,52,33,37,
3121,08/29/24 01:40:00,,,,,,,,,,88
3122,08/29/24 02:00:00,72,39,,66,38,47,63,58,67,
3123,08/29/24 02:40:00,,,,,,,,,,218
3124,08/29/24 03:00:00,106,63,,164,127,131,73,103,144,
3125,08/29/24 03:40:00,,,,,,,,,,83
3126,08/29/24 04:00:00,52,32,,111,101,104,47,61,78,
3127,08/29/24 04:40:00,,,,,,,,,,33
3128,08/29/24 05:00:00,39,22,,54,31,48,32,43,44,
3129,08/29/24 05:40:00,,,,,,,,,,21
3130,08/29/24 06:00:00,3,9,,19,11,14,4,17,19,
3131,08/29/24 06:40:00,,,,,,,,,,1
3132,08/29/24 07:00:00,1,1,,1,1,1,1,1,1,
3133,08/29/24 07:40:00,,,,,,,,,,1
3134,08/29/24 08:00:00,1,1,,1,1,1,1,1,1,
3135,08/29/24 08:40:00,,,,,,,,,,1
3136,08/29/24 09:00:00,1,1,,1,1,1,1,1,1,
3137,08/29/24 09:40:00,,,,,,,,,,1
3138,08/29/24 10:00:00,1,1,,1,1,1,1,1,1,
3139,08/29/24 10:40:00,,,,,,,,,,1
3140,08/29/24 11:00:00,1,1,,1,1,1,1,1,1,
3141,08/29/24 11:40:00,,,,,,,,,,1
3142,08/29/24 12:00:00,1,1,,1,1,1,1,1,1,
3143,08/29/24 12:40:00,,,,,,,,,,1
3144,08/29/24 13:00:00,1,1,,1,1,1,1,1,1,
3145,08/29/24 13:40:00,,,,,,,,,,1
3146,08/29/24 14:00:00,1,1,,1,1,1,1,1,1,
3147,08/29/24 14:40:00,,,,,,,,,,3
3148,08/29/24 15:00:00,4,1,,2,1,1,4,2,2,
3149,08/29/24 15:40:00,,,,,,,,,,12
3150,08/29/24 16:00:00,14,4,,8,4,6,11,8,9,
3151,08/29/24 16:40:00,,,,,,,,,,38
3152,08/29/24 17:00:00,36,16,,26,14,18,31,24,27,
3153,08/29/24 17:40:00,,,,,,,,,,47
3154,08/29/24 18:00:00,44,22,,36,21,26,41,32,36,
3155,08/29/24 18:40:00,,,,,,,,,,122
3156,08/29/24 19:00:00,56,32,,53,31,38,63,47,52,
3157,08/29/24 19:40:00,,,,,,,,,,107
3158,08/29/24 20:00:00,94,56,,89,53,63,83,79,88,
3159,08/29/24 20:40:00,,,,,,,,,,134
3160,08/29/24 21:00:00,114,78,,122,72,96,132,119,134,
3161,08/29/24 21:40:00,,,,,,,,,,89
3162,08/29/24 22:00:00,77,47,,78,46,61,69,74,83,
3163,08/29/24 22:40:00,,,,,,,,,,234
3164,08/29/24 23:00:00,69,62,,106,62,76,84,93,103,
3165,08/29/24 23:40:00,,,,,,,,,,154
3166,08/30/24 00:00:00,141,64,,107,62,77,119,94,107,
3167,08/30/24 00:40:00,,,,,,,,,,178
3168,08/30/24 01:00:00,119,86,,151,101,112,129,124,148,
3169,08/30/24 01:40:00,,,,,,,,,,109
3170,08/30/24 02:00:00,122,63,,117,81,86,94,91,109,
3171,08/30/24 02:40:00,,,,,,,,,,209
3172,08/30/24 03:00:00,76,52,,132,104,111,66,86,128,
3173,08/30/24 03:40:00,,,,,,,,,,51
3174,08/30/24 04:00:00,33,27,,61,39,43,29,46,54,
3175,08/30/24 04:40:00,,,,,,,,,,18
3176,08/30/24 05:00:00,17,14,,27,14,22,18,23,27,
3177,08/30/24 05:40:00,,,,,,,,,,12
3178,08/30/24 06:00:00,3,6,,11,6,7,3,8,11,
3179,08/30/24 06:40:00,,,,,,,,,,1
3180,08/30/24 07:00:00,1,1,,1,1,1,1,1,1,
3181,08/30/24 07:40:00,,,,,,,,,,1
3182,08/30/24 08:00:00,1,1,,1,1,1,1,1,1,
3183,08/30/24 08:40:00,,,,,,,,,,1
3184,08/30/24 09:00:00,1,1,,1,1,1,1,1,1,
