Line#,Date,"Solar Radiation (S-LIB 21198259:21176526-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362315-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362317-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21362318-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21198259:21398620-1), W/m^2, RX3000_BRW1","Solar Radiation (RXW-LIB 21401801:21362319-1), W/m^2, RX3000_BRW4","Solar Radiation (S-LIB 21401801:21390413-1), W/m^2, RX3000_BRW4","Solar Radiation (RXW-LIB 21401800:21362313-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362314-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362316-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21362320-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401800:21390414-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398617-1), W/m^2, RX3000_BRW5","Solar Radiation (RXW-LIB 21401800:21398623-1), W/m^2, RX3000_BRW5","Solar Radiation (S-LIB 21401803:21390415-1), W/m^2, RX3000_BRW6"
2968,10/19/22 16:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
2969,10/19/22 16:40:00,,,,,,1,1,,,,,,,,
2970,10/19/22 17:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
2971,10/19/22 17:10:00,,,,,,1,1,,,,,,,,
2972,10/19/22 17:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
2973,10/19/22 17:40:00,,,,,,1,1,,,,,,,,
2974,10/19/22 18:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,2
2975,10/19/22 18:10:00,,,,,,1,2,,,,,,,,
2976,10/19/22 18:30:00,4,1,1,2,1,,,1,2,2,1,6,2,,7
2977,10/19/22 18:40:00,,,,,,2,6,,,,,,,,
2978,10/19/22 19:00:00,17,8,6,9,6,,,8,7,7,3,16,8,,18
2979,10/19/22 19:10:00,,,,,,7,16,,,,,,,,
2980,10/19/22 19:30:00,23,14,9,17,11,,,14,14,13,7,23,17,,32
2981,10/19/22 19:40:00,,,,,,12,27,,,,,,,,
2982,10/19/22 20:00:00,47,24,16,29,23,,,26,24,24,13,38,27,,64
2983,10/19/22 20:10:00,,,,,,22,57,,,,,,,,
2984,10/19/22 20:30:00,192,59,23,67,61,,,51,64,86,62,59,62,,167
2985,10/19/22 20:40:00,,,,,,32,91,,,,,,,,
2986,10/19/22 21:00:00,181,158,26,89,83,,,61,78,118,88,36,16,,176
2987,10/19/22 21:10:00,,,,,,24,183,,,,,,,,
2988,10/19/22 21:30:00,186,189,16,76,51,,,28,53,128,113,21,19,,166
2989,10/19/22 21:40:00,,,,,,12,51,,,,,,,,
2990,10/19/22 22:00:00,124,112,14,81,43,,,26,41,134,119,21,19,,171
2991,10/19/22 22:10:00,,,,,,12,34,,,,,,,,
2992,10/19/22 22:30:00,167,26,14,79,41,,,26,37,124,37,19,17,,169
2993,10/19/22 22:40:00,,,,,,12,27,,,,,,,,
2994,10/19/22 23:00:00,58,22,14,87,33,,,23,34,132,21,19,17,,161
2995,10/19/22 23:10:00,,,,,,12,22,,,,,,,,
2996,10/19/22 23:30:00,46,19,14,81,32,,,21,28,129,17,18,16,,146
2997,10/19/22 23:40:00,,,,,,12,18,,,,,,,,
2998,10/20/22 00:00:00,34,14,13,73,41,,,24,22,118,17,17,14,,127
2999,10/20/22 00:10:00,,,,,,11,17,,,,,,,,
3000,10/20/22 00:30:00,51,16,16,63,127,,,74,21,92,18,32,17,,53
3001,10/20/22 00:40:00,,,,,,22,23,,,,,,,,
3002,10/20/22 01:00:00,24,16,16,37,66,,,31,19,34,12,26,21,,29
3003,10/20/22 01:10:00,,,,,,18,17,,,,,,,,
3004,10/20/22 01:30:00,16,11,12,18,13,,,14,12,14,6,14,16,,17
3005,10/20/22 01:40:00,,,,,,9,6,,,,,,,,
3006,10/20/22 02:00:00,6,4,4,7,4,,,4,4,6,2,6,6,,7
3007,10/20/22 02:10:00,,,,,,3,2,,,,,,,,
3008,10/20/22 02:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3009,10/20/22 02:40:00,,,,,,1,1,,,,,,,,
3010,10/20/22 03:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3011,10/20/22 03:10:00,,,,,,1,1,,,,,,,,
3012,10/20/22 03:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3013,10/20/22 03:40:00,,,,,,1,1,,,,,,,,
3014,10/20/22 04:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3015,10/20/22 04:10:00,,,,,,1,1,,,,,,,,
3016,10/20/22 04:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3017,10/20/22 04:40:00,,,,,,1,1,,,,,,,,
3018,10/20/22 05:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3019,10/20/22 05:10:00,,,,,,1,1,,,,,,,,
3020,10/20/22 05:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3021,10/20/22 05:40:00,,,,,,1,1,,,,,,,,
3022,10/20/22 06:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3023,10/20/22 06:10:00,,,,,,1,1,,,,,,,,
3024,10/20/22 06:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3025,10/20/22 06:40:00,,,,,,1,1,,,,,,,,
3026,10/20/22 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3027,10/20/22 07:10:00,,,,,,1,1,,,,,,,,
3028,10/20/22 07:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3029,10/20/22 07:40:00,,,,,,1,1,,,,,,,,
3030,10/20/22 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3031,10/20/22 08:10:00,,,,,,1,1,,,,,,,,
3032,10/20/22 08:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3033,10/20/22 08:40:00,,,,,,1,1,,,,,,,,
3034,10/20/22 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3035,10/20/22 09:10:00,,,,,,1,1,,,,,,,,
3036,10/20/22 09:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3037,10/20/22 09:40:00,,,,,,1,1,,,,,,,,
3038,10/20/22 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3039,10/20/22 10:10:00,,,,,,1,1,,,,,,,,
3040,10/20/22 10:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3041,10/20/22 10:40:00,,,,,,1,1,,,,,,,,
3042,10/20/22 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3043,10/20/22 11:10:00,,,,,,1,1,,,,,,,,
3044,10/20/22 11:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3045,10/20/22 11:40:00,,,,,,1,1,,,,,,,,
3046,10/20/22 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3047,10/20/22 12:10:00,,,,,,1,1,,,,,,,,
3048,10/20/22 12:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3049,10/20/22 12:40:00,,,,,,1,1,,,,,,,,
3050,10/20/22 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3051,10/20/22 13:10:00,,,,,,1,1,,,,,,,,
3052,10/20/22 13:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3053,10/20/22 13:40:00,,,,,,1,1,,,,,,,,
3054,10/20/22 14:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3055,10/20/22 14:10:00,,,,,,1,1,,,,,,,,
3056,10/20/22 14:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3057,10/20/22 14:40:00,,,,,,1,1,,,,,,,,
3058,10/20/22 15:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3059,10/20/22 15:10:00,,,,,,1,1,,,,,,,,
3060,10/20/22 15:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3061,10/20/22 15:40:00,,,,,,1,1,,,,,,,,
3062,10/20/22 16:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3063,10/20/22 16:10:00,,,,,,1,1,,,,,,,,
3064,10/20/22 16:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3065,10/20/22 16:40:00,,,,,,1,1,,,,,,,,
3066,10/20/22 17:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3067,10/20/22 17:10:00,,,,,,1,1,,,,,,,,
3068,10/20/22 17:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3069,10/20/22 17:40:00,,,,,,1,1,,,,,,,,
3070,10/20/22 18:00:00,2,1,1,1,1,,,1,1,1,1,2,1,,2
3071,10/20/22 18:10:00,,,,,,1,2,,,,,,,,
3072,10/20/22 18:30:00,4,2,2,2,1,,,2,2,2,1,6,3,,8
3073,10/20/22 18:40:00,,,,,,2,6,,,,,,,,
3074,10/20/22 19:00:00,12,7,4,8,4,,,6,6,6,3,14,7,,11
3075,10/20/22 19:10:00,,,,,,4,19,,,,,,,,
3076,10/20/22 19:30:00,33,17,8,16,12,,,14,14,14,7,29,16,,21
3077,10/20/22 19:40:00,,,,,,9,29,,,,,,,,
3078,10/20/22 20:00:00,23,22,13,24,17,,,21,19,21,11,26,22,,47
3079,10/20/22 20:10:00,,,,,,17,27,,,,,,,,
3080,10/20/22 20:30:00,21,24,18,29,22,,,24,23,24,13,22,27,,33
3081,10/20/22 20:40:00,,,,,,18,27,,,,,,,,
3082,10/20/22 21:00:00,49,24,17,31,22,,,26,23,24,11,47,26,,137
3083,10/20/22 21:10:00,,,,,,27,56,,,,,,,,
3084,10/20/22 21:30:00,91,49,39,66,47,,,54,48,49,26,77,56,,134
3085,10/20/22 21:40:00,,,,,,43,61,,,,,,,,
3086,10/20/22 22:00:00,42,56,42,76,59,,,63,56,61,31,42,62,,81
3087,10/20/22 22:10:00,,,,,,58,38,,,,,,,,
3088,10/20/22 22:30:00,57,46,33,64,54,,,52,47,57,28,61,48,,92
3089,10/20/22 22:40:00,,,,,,36,39,,,,,,,,
3090,10/20/22 23:00:00,39,42,36,61,46,,,51,43,48,26,38,52,,78
3091,10/20/22 23:10:00,,,,,,41,64,,,,,,,,
3092,10/20/22 23:30:00,46,36,31,57,43,,,44,37,44,18,34,42,,183
3093,10/20/22 23:40:00,,,,,,32,48,,,,,,,,
3094,10/21/22 00:00:00,66,38,33,63,56,,,52,41,52,22,53,46,,91
3095,10/21/22 00:10:00,,,,,,33,33,,,,,,,,
3096,10/21/22 00:30:00,32,26,23,39,31,,,32,27,31,16,29,31,,61
3097,10/21/22 00:40:00,,,,,,22,34,,,,,,,,
3098,10/21/22 01:00:00,34,24,22,42,38,,,33,26,33,14,32,32,,52
3099,10/21/22 01:10:00,,,,,,22,16,,,,,,,,
3100,10/21/22 01:30:00,14,13,13,24,26,,,19,14,21,8,12,17,,14
3101,10/21/22 01:40:00,,,,,,12,7,,,,,,,,
3102,10/21/22 02:00:00,4,4,6,9,9,,,7,6,8,3,4,7,,6
3103,10/21/22 02:10:00,,,,,,3,2,,,,,,,,
3104,10/21/22 02:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3105,10/21/22 02:40:00,,,,,,1,1,,,,,,,,
3106,10/21/22 03:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3107,10/21/22 03:10:00,,,,,,1,1,,,,,,,,
3108,10/21/22 03:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3109,10/21/22 03:40:00,,,,,,1,1,,,,,,,,
3110,10/21/22 04:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3111,10/21/22 04:10:00,,,,,,1,1,,,,,,,,
3112,10/21/22 04:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3113,10/21/22 04:40:00,,,,,,1,1,,,,,,,,
3114,10/21/22 05:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3115,10/21/22 05:10:00,,,,,,1,1,,,,,,,,
3116,10/21/22 05:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3117,10/21/22 05:40:00,,,,,,1,1,,,,,,,,
3118,10/21/22 06:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3119,10/21/22 06:10:00,,,,,,1,1,,,,,,,,
3120,10/21/22 06:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3121,10/21/22 06:40:00,,,,,,1,1,,,,,,,,
3122,10/21/22 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3123,10/21/22 07:10:00,,,,,,1,1,,,,,,,,
3124,10/21/22 07:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3125,10/21/22 07:40:00,,,,,,1,1,,,,,,,,
3126,10/21/22 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3127,10/21/22 08:10:00,,,,,,1,1,,,,,,,,
3128,10/21/22 08:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3129,10/21/22 08:40:00,,,,,,1,1,,,,,,,,
3130,10/21/22 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3131,10/21/22 09:10:00,,,,,,1,1,,,,,,,,
3132,10/21/22 09:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3133,10/21/22 09:40:00,,,,,,1,1,,,,,,,,
3134,10/21/22 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3135,10/21/22 10:10:00,,,,,,1,1,,,,,,,,
3136,10/21/22 10:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3137,10/21/22 10:40:00,,,,,,1,1,,,,,,,,
3138,10/21/22 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3139,10/21/22 11:10:00,,,,,,1,1,,,,,,,,
3140,10/21/22 11:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3141,10/21/22 11:40:00,,,,,,1,1,,,,,,,,
3142,10/21/22 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3143,10/21/22 12:10:00,,,,,,1,1,,,,,,,,
3144,10/21/22 12:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3145,10/21/22 12:40:00,,,,,,1,1,,,,,,,,
3146,10/21/22 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3147,10/21/22 13:10:00,,,,,,1,1,,,,,,,,
3148,10/21/22 13:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3149,10/21/22 13:40:00,,,,,,1,1,,,,,,,,
3150,10/21/22 14:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3151,10/21/22 14:10:00,,,,,,1,1,,,,,,,,
3152,10/21/22 14:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3153,10/21/22 14:40:00,,,,,,1,1,,,,,,,,
3154,10/21/22 15:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3155,10/21/22 15:10:00,,,,,,1,1,,,,,,,,
3156,10/21/22 15:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3157,10/21/22 15:40:00,,,,,,1,1,,,,,,,,
3158,10/21/22 16:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3159,10/21/22 16:10:00,,,,,,1,1,,,,,,,,
3160,10/21/22 16:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3161,10/21/22 16:40:00,,,,,,1,1,,,,,,,,
3162,10/21/22 17:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3163,10/21/22 17:10:00,,,,,,1,1,,,,,,,,
3164,10/21/22 17:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3165,10/21/22 17:40:00,,,,,,1,1,,,,,,,,
3166,10/21/22 18:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3167,10/21/22 18:10:00,,,,,,1,1,,,,,,,,
3168,10/21/22 18:30:00,3,1,1,1,1,,,1,1,1,1,3,1,,4
3169,10/21/22 18:40:00,,,,,,1,4,,,,,,,,
3170,10/21/22 19:00:00,12,4,3,6,4,,,4,4,6,2,11,6,,14
3171,10/21/22 19:10:00,,,,,,4,16,,,,,,,,
3172,10/21/22 19:30:00,27,14,9,18,12,,,17,14,14,7,26,17,,32
3173,10/21/22 19:40:00,,,,,,14,26,,,,,,,,
3174,10/21/22 20:00:00,23,18,17,26,17,,,21,18,19,12,26,24,,32
3175,10/21/22 20:10:00,,,,,,18,24,,,,,,,,
3176,10/21/22 20:30:00,31,18,18,28,18,,,23,19,22,12,32,26,,37
3177,10/21/22 20:40:00,,,,,,19,27,,,,,,,,
3178,10/21/22 21:00:00,32,21,19,32,22,,,26,22,24,13,32,28,,42
3179,10/21/22 21:10:00,,,,,,22,27,,,,,,,,
3180,10/21/22 21:30:00,37,22,19,33,26,,,29,24,28,13,37,29,,52
3181,10/21/22 21:40:00,,,,,,24,33,,,,,,,,
3182,10/21/22 22:00:00,52,29,21,43,34,,,38,32,36,16,49,37,,72
3183,10/21/22 22:10:00,,,,,,32,49,,,,,,,,
3184,10/21/22 22:30:00,72,39,22,57,49,,,52,43,51,21,67,47,,92
3185,10/21/22 22:40:00,,,,,,46,73,,,,,,,,
3186,10/21/22 23:00:00,63,49,28,71,57,,,63,52,59,29,67,62,,77
3187,10/21/22 23:10:00,,,,,,51,51,,,,,,,,
3188,10/21/22 23:30:00,36,32,26,52,39,,,42,34,43,24,38,47,,38
3189,10/21/22 23:40:00,,,,,,33,26,,,,,,,,
3190,10/22/22 00:00:00,29,17,12,33,31,,,28,21,31,12,29,24,,31
3191,10/22/22 00:10:00,,,,,,23,19,,,,,,,,
3192,10/22/22 00:30:00,21,13,9,26,23,,,21,16,23,9,22,19,,33
3193,10/22/22 00:40:00,,,,,,18,17,,,,,,,,
3194,10/22/22 01:00:00,16,9,8,17,12,,,13,11,14,7,16,16,,21
3195,10/22/22 01:10:00,,,,,,11,9,,,,,,,,
3196,10/22/22 01:30:00,8,6,4,9,6,,,7,6,8,3,8,9,,12
3197,10/22/22 01:40:00,,,,,,6,6,,,,,,,,
3198,10/22/22 02:00:00,8,4,3,7,4,,,4,3,6,2,8,6,,8
3199,10/22/22 02:10:00,,,,,,4,2,,,,,,,,
3200,10/22/22 02:30:00,1,1,1,2,1,,,1,1,2,1,1,2,,1
3201,10/22/22 02:40:00,,,,,,1,1,,,,,,,,
3202,10/22/22 03:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3203,10/22/22 03:10:00,,,,,,1,1,,,,,,,,
3204,10/22/22 03:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3205,10/22/22 03:40:00,,,,,,1,1,,,,,,,,
3206,10/22/22 04:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3207,10/22/22 04:10:00,,,,,,1,1,,,,,,,,
3208,10/22/22 04:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3209,10/22/22 04:40:00,,,,,,1,1,,,,,,,,
3210,10/22/22 05:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3211,10/22/22 05:10:00,,,,,,1,1,,,,,,,,
3212,10/22/22 05:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3213,10/22/22 05:40:00,,,,,,1,1,,,,,,,,
3214,10/22/22 06:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3215,10/22/22 06:10:00,,,,,,1,1,,,,,,,,
3216,10/22/22 06:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3217,10/22/22 06:40:00,,,,,,1,1,,,,,,,,
3218,10/22/22 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3219,10/22/22 07:10:00,,,,,,1,1,,,,,,,,
3220,10/22/22 07:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3221,10/22/22 07:40:00,,,,,,1,1,,,,,,,,
3222,10/22/22 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3223,10/22/22 08:10:00,,,,,,1,1,,,,,,,,
3224,10/22/22 08:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3225,10/22/22 08:40:00,,,,,,1,1,,,,,,,,
3226,10/22/22 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3227,10/22/22 09:10:00,,,,,,1,1,,,,,,,,
3228,10/22/22 09:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3229,10/22/22 09:40:00,,,,,,1,1,,,,,,,,
3230,10/22/22 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3231,10/22/22 10:10:00,,,,,,1,1,,,,,,,,
3232,10/22/22 10:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3233,10/22/22 10:40:00,,,,,,1,1,,,,,,,,
3234,10/22/22 11:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3235,10/22/22 11:10:00,,,,,,1,1,,,,,,,,
3236,10/22/22 11:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3237,10/22/22 11:40:00,,,,,,1,1,,,,,,,,
3238,10/22/22 12:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3239,10/22/22 12:10:00,,,,,,1,1,,,,,,,,
3240,10/22/22 12:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3241,10/22/22 12:40:00,,,,,,1,1,,,,,,,,
3242,10/22/22 13:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3243,10/22/22 13:10:00,,,,,,1,1,,,,,,,,
3244,10/22/22 13:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3245,10/22/22 13:40:00,,,,,,1,1,,,,,,,,
3246,10/22/22 14:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3247,10/22/22 14:10:00,,,,,,1,1,,,,,,,,
3248,10/22/22 14:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3249,10/22/22 14:40:00,,,,,,1,1,,,,,,,,
3250,10/22/22 15:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3251,10/22/22 15:10:00,,,,,,1,1,,,,,,,,
3252,10/22/22 15:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3253,10/22/22 15:40:00,,,,,,1,1,,,,,,,,
3254,10/22/22 16:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3255,10/22/22 16:10:00,,,,,,1,1,,,,,,,,
3256,10/22/22 16:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3257,10/22/22 16:40:00,,,,,,1,1,,,,,,,,
3258,10/22/22 17:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3259,10/22/22 17:10:00,,,,,,1,1,,,,,,,,
3260,10/22/22 17:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3261,10/22/22 17:40:00,,,,,,1,1,,,,,,,,
3262,10/22/22 18:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3263,10/22/22 18:10:00,,,,,,1,1,,,,,,,,
3264,10/22/22 18:30:00,3,1,1,1,1,,,1,1,1,1,3,1,,4
3265,10/22/22 18:40:00,,,,,,1,6,,,,,,,,
3266,10/22/22 19:00:00,11,4,3,6,4,,,4,4,6,2,11,7,,12
3267,10/22/22 19:10:00,,,,,,4,12,,,,,,,,
3268,10/22/22 19:30:00,11,8,7,12,6,,,8,8,8,4,12,11,,12
3269,10/22/22 19:40:00,,,,,,7,12,,,,,,,,
3270,10/22/22 20:00:00,17,8,7,12,7,,,9,8,8,3,16,12,,21
3271,10/22/22 20:10:00,,,,,,11,18,,,,,,,,
3272,10/22/22 20:30:00,16,12,9,17,12,,,13,12,13,7,16,14,,16
3273,10/22/22 20:40:00,,,,,,11,11,,,,,,,,
3274,10/22/22 21:00:00,23,11,9,17,12,,,13,12,13,6,22,14,,26
3275,10/22/22 21:10:00,,,,,,12,18,,,,,,,,
3276,10/22/22 21:30:00,36,18,14,27,21,,,22,19,21,9,36,22,,49
3277,10/22/22 21:40:00,,,,,,21,33,,,,,,,,
3278,10/22/22 22:00:00,37,26,22,38,27,,,31,27,28,14,38,33,,48
3279,10/22/22 22:10:00,,,,,,27,36,,,,,,,,
3280,10/22/22 22:30:00,39,26,23,38,24,,,31,27,28,16,41,33,,56
3281,10/22/22 22:40:00,,,,,,27,37,,,,,,,,
3282,10/22/22 23:00:00,36,26,24,39,27,,,32,28,29,14,38,36,,49
3283,10/22/22 23:10:00,,,,,,27,31,,,,,,,,
3284,10/22/22 23:30:00,31,22,21,33,23,,,27,23,24,14,32,31,,43
3285,10/22/22 23:40:00,,,,,,24,26,,,,,,,,
3286,10/23/22 00:00:00,23,18,17,26,17,,,21,18,19,11,23,23,,33
3287,10/23/22 00:10:00,,,,,,17,21,,,,,,,,
3288,10/23/22 00:30:00,18,14,13,21,13,,,17,14,16,8,19,19,,26
3289,10/23/22 00:40:00,,,,,,13,14,,,,,,,,
3290,10/23/22 01:00:00,12,9,8,14,8,,,12,11,11,6,12,13,,17
3291,10/23/22 01:10:00,,,,,,9,8,,,,,,,,
3292,10/23/22 01:30:00,7,4,4,8,4,,,6,6,6,2,8,7,,9
3293,10/23/22 01:40:00,,,,,,4,6,,,,,,,,
3294,10/23/22 02:00:00,2,3,3,6,4,,,4,3,4,2,2,4,,3
3295,10/23/22 02:10:00,,,,,,2,1,,,,,,,,
3296,10/23/22 02:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3297,10/23/22 02:40:00,,,,,,1,1,,,,,,,,
3298,10/23/22 03:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3299,10/23/22 03:10:00,,,,,,1,1,,,,,,,,
3300,10/23/22 03:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3301,10/23/22 03:40:00,,,,,,1,1,,,,,,,,
3302,10/23/22 04:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3303,10/23/22 04:10:00,,,,,,1,1,,,,,,,,
3304,10/23/22 04:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3305,10/23/22 04:40:00,,,,,,1,1,,,,,,,,
3306,10/23/22 05:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3307,10/23/22 05:10:00,,,,,,1,1,,,,,,,,
3308,10/23/22 05:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3309,10/23/22 05:40:00,,,,,,1,1,,,,,,,,
3310,10/23/22 06:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3311,10/23/22 06:10:00,,,,,,1,1,,,,,,,,
3312,10/23/22 06:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3313,10/23/22 06:40:00,,,,,,1,1,,,,,,,,
3314,10/23/22 07:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3315,10/23/22 07:10:00,,,,,,1,1,,,,,,,,
3316,10/23/22 07:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3317,10/23/22 07:40:00,,,,,,1,1,,,,,,,,
3318,10/23/22 08:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3319,10/23/22 08:10:00,,,,,,1,1,,,,,,,,
3320,10/23/22 08:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3321,10/23/22 08:40:00,,,,,,1,1,,,,,,,,
3322,10/23/22 09:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3323,10/23/22 09:10:00,,,,,,1,1,,,,,,,,
3324,10/23/22 09:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3325,10/23/22 09:40:00,,,,,,1,1,,,,,,,,
3326,10/23/22 10:00:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
3327,10/23/22 10:10:00,,,,,,1,1,,,,,,,,
3328,10/23/22 10:30:00,1,1,1,1,1,,,1,1,1,1,1,1,,1
