"","date","station","sensor","depth","wspeedavg"
"135","2022-10-29","TNHA","TNHA-BASE",1,4.03125
"136","2022-10-30","TNHA","TNHA-BASE",1,3.21875
"137","2022-10-31","TNHA","TNHA-BASE",1,1.6875
"138","2022-11-01","TNHA","TNHA-BASE",1,0.6875
"139","2022-11-02","TNHA","TNHA-BASE",1,0.125
"140","2022-11-03","TNHA","TNHA-BASE",1,0.375
"141","2022-11-04","TNHA","TNHA-BASE",1,1.11458333333333
"142","2022-11-05","TNHA","TNHA-BASE",1,0.270833333333333
"143","2022-11-06","TNHA","TNHA-BASE",1,1.34375
"144","2022-11-07","TNHA","TNHA-BASE",1,0.9375
"145","2022-11-08","TNHA","TNHA-BASE",1,2.3125
"146","2022-11-09","TNHA","TNHA-BASE",1,1.13541666666667
"147","2022-11-10","TNHA","TNHA-BASE",1,0.697916666666667
"148","2022-11-11","TNHA","TNHA-BASE",1,0.677083333333333
"149","2022-11-12","TNHA","TNHA-BASE",1,0.15625
"150","2022-11-13","TNHA","TNHA-BASE",1,0.0520833333333333
"151","2022-11-14","TNHA","TNHA-BASE",1,0.583333333333333
"152","2022-11-15","TNHA","TNHA-BASE",1,1.60416666666667
"153","2022-11-16","TNHA","TNHA-BASE",1,1.44791666666667
"154","2022-11-17","TNHA","TNHA-BASE",1,0.78125
"155","2022-11-18","TNHA","TNHA-BASE",1,0.71875
"156","2022-11-19","TNHA","TNHA-BASE",1,0.260416666666667
"157","2022-11-20","TNHA","TNHA-BASE",1,0.916666666666667
"158","2022-11-21","TNHA","TNHA-BASE",1,2.94791666666667
"159","2022-11-22","TNHA","TNHA-BASE",1,2.63541666666667
"160","2022-11-23","TNHA","TNHA-BASE",1,1.53125
"161","2022-11-24","TNHA","TNHA-BASE",1,1.16666666666667
"162","2022-11-25","TNHA","TNHA-BASE",1,1.90625
"163","2022-11-26","TNHA","TNHA-BASE",1,1.55208333333333
"164","2022-11-27","TNHA","TNHA-BASE",1,0.270833333333333
"165","2022-11-28","TNHA","TNHA-BASE",1,0.489583333333333
"166","2022-11-29","TNHA","TNHA-BASE",1,0.520833333333333
"167","2022-11-30","TNHA","TNHA-BASE",1,0.5
"168","2022-12-01","TNHA","TNHA-BASE",1,0.0625
"169","2022-12-02","TNHA","TNHA-BASE",1,0.697916666666667
"170","2022-12-03","TNHA","TNHA-BASE",1,0.229166666666667
"171","2022-12-04","TNHA","TNHA-BASE",1,2.59375
"172","2022-12-05","TNHA","TNHA-BASE",1,2.90625
"173","2022-12-06","TNHA","TNHA-BASE",1,1.13541666666667
"174","2022-12-07","TNHA","TNHA-BASE",1,2.73958333333333
"175","2022-12-08","TNHA","TNHA-BASE",1,2.08333333333333
"176","2022-12-09","TNHA","TNHA-BASE",1,0.125
"177","2022-12-10","TNHA","TNHA-BASE",1,0.229166666666667
"178","2022-12-11","TNHA","TNHA-BASE",1,3.48958333333333
"179","2022-12-12","TNHA","TNHA-BASE",1,1.14583333333333
"180","2022-12-13","TNHA","TNHA-BASE",1,0.28125
"181","2022-12-14","TNHA","TNHA-BASE",1,0.46875
"182","2022-12-15","TNHA","TNHA-BASE",1,0.0625
"183","2022-12-16","TNHA","TNHA-BASE",1,0.104166666666667
"184","2022-12-17","TNHA","TNHA-BASE",1,0.166666666666667
"185","2022-12-18","TNHA","TNHA-BASE",1,0.125
"186","2022-12-19","TNHA","TNHA-BASE",1,0
"187","2022-12-20","TNHA","TNHA-BASE",1,0.135416666666667
"188","2022-12-21","TNHA","TNHA-BASE",1,0.114583333333333
"189","2022-12-22","TNHA","TNHA-BASE",1,0.65625
"190","2022-12-23","TNHA","TNHA-BASE",1,0.5
"191","2022-12-24","TNHA","TNHA-BASE",1,0.0729166666666666
"192","2022-12-25","TNHA","TNHA-BASE",1,0
"193","2022-12-26","TNHA","TNHA-BASE",1,0.135416666666667
"194","2022-12-27","TNHA","TNHA-BASE",1,0.645833333333333
"195","2022-12-28","TNHA","TNHA-BASE",1,1.41666666666667
"196","2023-03-05","TNHA","TNHA-BASE",1,3
"197","2023-03-06","TNHA","TNHA-BASE",1,1.25
"198","2023-03-07","TNHA","TNHA-BASE",1,0.5
"199","2023-03-08","TNHA","TNHA-BASE",1,0.125
"200","2023-03-09","TNHA","TNHA-BASE",1,0
"201","2023-03-10","TNHA","TNHA-BASE",1,0.25
"202","2023-03-11","TNHA","TNHA-BASE",1,0.125
"203","2023-03-12","TNHA","TNHA-BASE",1,0
"204","2023-03-13","TNHA","TNHA-BASE",1,0
"205","2023-03-14","TNHA","TNHA-BASE",1,0
"206","2023-03-15","TNHA","TNHA-BASE",1,0
"207","2023-03-16","TNHA","TNHA-BASE",1,0.125
"208","2023-03-17","TNHA","TNHA-BASE",1,0.2
"209","2023-03-18","TNHA","TNHA-BASE",1,0.833333333333333
"210","2023-03-19","TNHA","TNHA-BASE",1,2.41666666666667
"211","2023-03-20","TNHA","TNHA-BASE",1,0.625
"212","2023-03-21","TNHA","TNHA-BASE",1,1.20833333333333
"213","2023-03-22","TNHA","TNHA-BASE",1,0.270833333333333
"214","2023-03-23","TNHA","TNHA-BASE",1,1.3125
"215","2023-03-24","TNHA","TNHA-BASE",1,0.5
"216","2023-03-25","TNHA","TNHA-BASE",1,0.979166666666667
"217","2023-03-26","TNHA","TNHA-BASE",1,2.27083333333333
"218","2023-03-27","TNHA","TNHA-BASE",1,0.833333333333333
"219","2023-03-28","TNHA","TNHA-BASE",1,0.5
"220","2023-03-29","TNHA","TNHA-BASE",1,0.770833333333333
"221","2023-03-30","TNHA","TNHA-BASE",1,2.29166666666667
"222","2023-03-31","TNHA","TNHA-BASE",1,0.229166666666667
"223","2023-04-01","TNHA","TNHA-BASE",1,0.0833333333333334
"224","2023-04-02","TNHA","TNHA-BASE",1,2.58333333333333
