"","date","station","sensor","depth","wdiravg"
"123","2022-10-17","TNHA","TNHA-BASE",1,148.5
"124","2022-10-18","TNHA","TNHA-BASE",1,167.5625
"125","2022-10-19","TNHA","TNHA-BASE",1,305.75
"126","2022-10-20","TNHA","TNHA-BASE",1,220.145833333333
"127","2022-10-21","TNHA","TNHA-BASE",1,224.645833333333
"128","2022-10-22","TNHA","TNHA-BASE",1,226.520833333333
"129","2022-10-23","TNHA","TNHA-BASE",1,242.604166666667
"130","2022-10-24","TNHA","TNHA-BASE",1,231.791666666667
"131","2022-10-25","TNHA","TNHA-BASE",1,231.875
"132","2022-10-26","TNHA","TNHA-BASE",1,217.270833333333
"133","2022-10-27","TNHA","TNHA-BASE",1,211.979166666667
"134","2022-10-28","TNHA","TNHA-BASE",1,222.083333333333
"135","2022-10-29","TNHA","TNHA-BASE",1,188.541666666667
"136","2022-10-30","TNHA","TNHA-BASE",1,223.6875
"137","2022-10-31","TNHA","TNHA-BASE",1,249.166666666667
"138","2022-11-01","TNHA","TNHA-BASE",1,310.1875
"139","2022-11-02","TNHA","TNHA-BASE",1,301.4375
"140","2022-11-03","TNHA","TNHA-BASE",1,255.895833333333
"141","2022-11-04","TNHA","TNHA-BASE",1,213.8125
"142","2022-11-05","TNHA","TNHA-BASE",1,259.604166666667
"143","2022-11-06","TNHA","TNHA-BASE",1,313.083333333333
"144","2022-11-07","TNHA","TNHA-BASE",1,302.4375
"145","2022-11-08","TNHA","TNHA-BASE",1,262.083333333333
"146","2022-11-09","TNHA","TNHA-BASE",1,309.208333333333
"147","2022-11-10","TNHA","TNHA-BASE",1,307.791666666667
"148","2022-11-11","TNHA","TNHA-BASE",1,310.604166666667
"149","2022-11-12","TNHA","TNHA-BASE",1,311.291666666667
"150","2022-11-13","TNHA","TNHA-BASE",1,327.854166666667
"151","2022-11-14","TNHA","TNHA-BASE",1,326.479166666667
"152","2022-11-15","TNHA","TNHA-BASE",1,308.541666666667
"153","2022-11-16","TNHA","TNHA-BASE",1,318.020833333333
"154","2022-11-17","TNHA","TNHA-BASE",1,322
"155","2022-11-18","TNHA","TNHA-BASE",1,285.9375
"156","2022-11-19","TNHA","TNHA-BASE",1,295.479166666667
"157","2022-11-20","TNHA","TNHA-BASE",1,307.0625
"158","2022-11-21","TNHA","TNHA-BASE",1,137.895833333333
"159","2022-11-22","TNHA","TNHA-BASE",1,196.75
"160","2022-11-23","TNHA","TNHA-BASE",1,119.479166666667
"161","2022-11-24","TNHA","TNHA-BASE",1,227.354166666667
"162","2022-11-25","TNHA","TNHA-BASE",1,142.895833333333
"163","2022-11-26","TNHA","TNHA-BASE",1,214.8125
"164","2022-11-27","TNHA","TNHA-BASE",1,329.583333333333
"165","2022-11-28","TNHA","TNHA-BASE",1,322.25
"166","2022-11-29","TNHA","TNHA-BASE",1,310.9375
"167","2022-11-30","TNHA","TNHA-BASE",1,277.229166666667
"168","2022-12-01","TNHA","TNHA-BASE",1,233.0625
"169","2022-12-02","TNHA","TNHA-BASE",1,279.916666666667
"170","2022-12-03","TNHA","TNHA-BASE",1,298.791666666667
"171","2022-12-04","TNHA","TNHA-BASE",1,253.854166666667
"172","2022-12-05","TNHA","TNHA-BASE",1,272.729166666667
"173","2022-12-06","TNHA","TNHA-BASE",1,269.520833333333
"174","2022-12-07","TNHA","TNHA-BASE",1,226.791666666667
"175","2022-12-08","TNHA","TNHA-BASE",1,194.208333333333
"176","2022-12-09","TNHA","TNHA-BASE",1,277.083333333333
"177","2022-12-10","TNHA","TNHA-BASE",1,298.645833333333
"178","2022-12-11","TNHA","TNHA-BASE",1,231.3125
"179","2022-12-12","TNHA","TNHA-BASE",1,273.729166666667
"180","2022-12-13","TNHA","TNHA-BASE",1,309.6875
"181","2022-12-14","TNHA","TNHA-BASE",1,274.395833333333
"182","2022-12-15","TNHA","TNHA-BASE",1,279.708333333333
"183","2022-12-16","TNHA","TNHA-BASE",1,338.895833333333
"184","2022-12-17","TNHA","TNHA-BASE",1,320.479166666667
"185","2022-12-18","TNHA","TNHA-BASE",1,305.583333333333
"186","2022-12-19","TNHA","TNHA-BASE",1,326.916666666667
"187","2022-12-20","TNHA","TNHA-BASE",1,143.3125
"188","2022-12-21","TNHA","TNHA-BASE",1,276.895833333333
"189","2022-12-22","TNHA","TNHA-BASE",1,258.104166666667
"190","2022-12-23","TNHA","TNHA-BASE",1,271
"191","2022-12-24","TNHA","TNHA-BASE",1,188.645833333333
"192","2022-12-25","TNHA","TNHA-BASE",1,243.291666666667
"193","2022-12-26","TNHA","TNHA-BASE",1,230.979166666667
"194","2022-12-27","TNHA","TNHA-BASE",1,85.6875
"195","2022-12-28","TNHA","TNHA-BASE",1,157.583333333333
"196","2023-03-05","TNHA","TNHA-BASE",1,223.75
"197","2023-03-06","TNHA","TNHA-BASE",1,258.5
"198","2023-03-07","TNHA","TNHA-BASE",1,290.5
"199","2023-03-08","TNHA","TNHA-BASE",1,281
"200","2023-03-09","TNHA","TNHA-BASE",1,330.25
"201","2023-03-10","TNHA","TNHA-BASE",1,316
"202","2023-03-11","TNHA","TNHA-BASE",1,262
"203","2023-03-12","TNHA","TNHA-BASE",1,30.25
"204","2023-03-13","TNHA","TNHA-BASE",1,330.75
"205","2023-03-14","TNHA","TNHA-BASE",1,330.75
"206","2023-03-15","TNHA","TNHA-BASE",1,182.5
"207","2023-03-16","TNHA","TNHA-BASE",1,335.25
