time,Pm2.5,Pm10 0
2024-07-02T03:14:48.000Z,4,4
2024-07-02T03:26:27.000Z,,
2024-07-02T03:38:06.000Z,,
2024-07-02T03:49:45.000Z,,
2024-07-02T04:01:24.000Z,,
2024-07-02T04:13:03.000Z,,
2024-07-02T04:24:42.000Z,4,5
2024-07-02T04:36:21.000Z,,
2024-07-02T04:48:00.000Z,,
2024-07-02T04:59:39.000Z,,
2024-07-02T05:11:18.000Z,,
2024-07-02T05:22:57.000Z,4,4
2024-07-02T05:34:36.000Z,,
2024-07-02T05:46:15.000Z,,
2024-07-02T05:57:54.000Z,,
2024-07-02T06:09:33.000Z,,
2024-07-02T06:21:12.000Z,4,5
2024-07-02T06:32:51.000Z,,
2024-07-02T06:44:30.000Z,,
2024-07-02T06:56:09.000Z,,
2024-07-02T07:07:48.000Z,,
2024-07-02T07:19:27.000Z,4,4
2024-07-02T07:31:06.000Z,,
2024-07-02T07:42:45.000Z,,
2024-07-02T07:54:24.000Z,,
2024-07-02T08:06:03.000Z,,
2024-07-02T08:17:42.000Z,6,7
2024-07-02T08:29:21.000Z,,
2024-07-02T08:41:00.000Z,,
2024-07-02T08:52:39.000Z,,
2024-07-02T09:04:18.000Z,,
2024-07-02T09:15:57.000Z,,
2024-07-02T09:27:36.000Z,4,4
2024-07-02T09:39:15.000Z,,
2024-07-02T09:50:54.000Z,,
2024-07-02T10:02:33.000Z,,
2024-07-02T10:14:12.000Z,,
2024-07-02T10:25:51.000Z,4,5
2024-07-02T10:37:30.000Z,,
2024-07-02T10:49:09.000Z,,
2024-07-02T11:00:48.000Z,,
2024-07-02T11:12:27.000Z,,
2024-07-02T11:24:06.000Z,4,4
2024-07-02T11:35:45.000Z,,
2024-07-02T11:47:24.000Z,,
2024-07-02T11:59:03.000Z,,
2024-07-02T12:10:42.000Z,,
2024-07-02T12:22:21.000Z,6,7
2024-07-02T12:34:00.000Z,,
2024-07-02T12:45:39.000Z,,
2024-07-02T12:57:18.000Z,,
2024-07-02T13:08:57.000Z,,
2024-07-02T13:20:36.000Z,,
2024-07-02T13:32:15.000Z,4,4
2024-07-02T13:43:54.000Z,,
2024-07-02T13:55:33.000Z,,
2024-07-02T14:07:12.000Z,,
2024-07-02T14:18:51.000Z,,
2024-07-02T14:30:30.000Z,7,9
2024-07-02T14:42:09.000Z,,
2024-07-02T14:53:48.000Z,,
